UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11
0020031Y;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;162;Scolaire;15;32025014;32025014;FAUX;32211025014
0020031Y;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;29;Apprentissage;15;32025014;32025014;FAUX;32211025014
0020031Y;BTS - Services - Gestion de la PME;32211031409;68;Scolaire;22;32031409;32031409;FAUX;32211031409
0020031Y;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;191;Scolaire;33;32031212;32031212;FAUX;32211031212
0020032Z;BTS - Services - Commerce International;32211031215;508;Scolaire;33;32031215;32031215;FAUX;32211031215
0020032Z;BTS - Services - Comptabilité et gestion;32211031408;448;Scolaire;33;32031408;32031408;FAUX;32211031408
0020032Z;BTS - Services - Services informatiques aux organisations;32211032612;263;Scolaire;33;32032612;32032612;FAUX;32211032612
0020032Z;BTS - Services - Support à l'action managériale;32211032409;253;Scolaire;33;32032409;32032409;FAUX;32211032409
0020032Z;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;75;Apprentissage;15;32032409;32032409;FAUX;32211032409
0020034B;BTS - Production - Conception de produits industriels;32211020009;117;Scolaire;30;32020009;32020009;FAUX;32211020009
0020034B;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;303;Scolaire;30;32020112;32020112;FAUX;32211020112
0020048S;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;32211032328;424;Scolaire;15;32032328;32032328;FAUX;32211032328
0020048S;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;32211032329;928;Scolaire;15;32032329;32032329;FAUX;32211032329
0020048S;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image - en apprentissage;32211032329;365;Apprentissage;15;32032329;32032329;FAUX;32211032329
0020048S;BTS - Services - Métiers de l'audio-visuel opt : métiers du son;32211032330;691;Scolaire;15;32032330;32032330;FAUX;32211032330
0020048S;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;32211032332;795;Scolaire;15;32032332;32032332;FAUX;32211032332
0020048S;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production - en apprentissage;32211032332;463;Apprentissage;15;32032332;32032332;FAUX;32211032332
0020048S;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements;32211032331;333;Scolaire;15;32032331;32032331;FAUX;32211032331
0020048S;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements - en apprentissage;32211032331;125;Apprentissage;15;32032331;32032331;FAUX;32211032331
0020049T;BTS - Services - Gestion de la PME;32211031409;354;Scolaire;35;32031409;32031409;FAUX;32211031409
