UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11;nb_apparitions
0011413F;BTS - Services - Commerce International - en apprentissage;32211031215;5;Apprentissage;;32031215;32031215;FAUX;32211031215;1
0011413F;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;19;Apprentissage;15;32031408;32031408;FAUX;32211031408;1
0011413F;BTS - Services - Gestion de la PME - en apprentissage;32211031409;17;Apprentissage;;32031409;32031409;FAUX;32211031409;1
0011413F;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;32;Apprentissage;22;32031213;32031213;FAUX;32211031213;1
0011413F;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;19;Apprentissage;15;32031212;32031212;FAUX;32211031212;1
0011443N;BTS - Services - Banque conseiller de clientèle - en apprentissage;32211031310;40;Apprentissage;14;32031310;32031310;FAUX;32211031310;1
0011443N;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;41;Apprentissage;20;32031213;32031213;FAUX;32211031213;1
0011443N;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;33;Apprentissage;10;32031212;32031212;FAUX;32211031212;1
0011444P;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;143;Apprentissage;30;32021014;32021014;FAUX;32212021014;1
0011444P;BTS - Agricole - productions animales - en apprentissage;32212021205;200;Apprentissage;30;32021205;32021205;FAUX;32212021205;1
0011444P;BTS - Agricole - QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques - en apprentissage;32212022117;32;Apprentissage;24;32022117;32022117;FAUX;32212022117;1
0011446S;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;109;Apprentissage;24;32021014;32021014;FAUX;32212021014;1
0011446S;BTS - Agricole - Aquaculture - en apprentissage;32212021206;70;Apprentissage;24;32021206;32021206;FAUX;32212021206;1
0020012C;BTS - Services - Comptabilité et gestion;32211031408;153;Scolaire;18;32031408;32031408;FAUX;32211031408;1
0020012C;BTS - Services - Gestion de la PME;32211031409;106;Scolaire;18;32031409;32031409;FAUX;32211031409;1
0020012C;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;163;Scolaire;18;32033002;32033002;FAUX;32211033002;1
0020014E;BTS - Production - Europlastics et composites à référentiel commun européen - option Conception d'Outillage;32211022505;46;Scolaire;15;32022505;32022505;FAUX;32211022505;1
0020014E;BTS - Production - Europlastics et composites à référentiel commun européen - option Pilotage et Optimisation de la production - en apprentissage;32211022506;8;Apprentissage;8;32022506;32022506;FAUX;32211022506;1
0020014E;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;32211022710;57;Apprentissage;17;32022710;32022710;FAUX;32211022710;1
0020014E;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;196;Apprentissage;20;32031213;32031213;FAUX;32211031213;1
0020014E;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;275;Scolaire;34;32031212;32031212;FAUX;32211031212;1
0020014E;BTS - Services - Service et prestation des secteurs sanitaire et social - en apprentissage;32211033002;97;Apprentissage;16;32033002;32033002;FAUX;32211033002;1
0020022N;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie;32211033608;177;Scolaire;18;32033608;32033608;FAUX;32211033608;1
0020025S;BTS - Production - Maintenance des matériels de construction et de manutention - en apprentissage;32211025218;17;Apprentissage;10;32025218;32025218;FAUX;32211025218;1
0020025S;BTS - Production - Maintenance des véhicules option véhicules de transport routier - en apprentissage;32211025216;22;Apprentissage;10;32025216;32025216;FAUX;32211025216;1
0020025S;BTS - Production - Techniques et services en matériels agricoles - en apprentissage;32211025213;40;Apprentissage;16;32025213;32025213;FAUX;32211025213;1
0020031Y;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;143;Scolaire;15;32025014;32025014;FAUX;32211025014;1
0020031Y;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;55;Apprentissage;15;32025014;32025014;FAUX;32211025014;1
0020031Y;BTS - Services - Gestion de la PME;32211031409;242;Scolaire;24;32031409;32031409;FAUX;32211031409;1
0020031Y;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;604;Scolaire;35;32031212;32031212;FAUX;32211031212;1
0020032Z;BTS - Services - Commerce International;32211031215;1579;Scolaire;33;32031215;32031215;FAUX;32211031215;1
0020032Z;BTS - Services - Comptabilité et gestion;32211031408;513;Scolaire;33;32031408;32031408;FAUX;32211031408;1
0020032Z;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;3;Apprentissage;5;32031408;32031408;FAUX;32211031408;1
0020032Z;BTS - Services - Services informatiques aux organisations;32211032612;359;Scolaire;33;32032612;32032612;FAUX;32211032612;1
0020032Z;BTS - Services - Support à l'action managériale;32211032409;120;Scolaire;33;32032409;32032409;FAUX;32211032409;1
0020032Z;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;66;Apprentissage;15;32032409;32032409;FAUX;32211032409;1
0020034B;BTS - Production - Conception de produits industriels;32211020009;358;Scolaire;28;32020009;32020009;FAUX;32211020009;1
0020034B;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;32211020116;674;Scolaire;28;32020116;32020116;FAUX;32211020116;1
0020048S;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production;32211032328;335;Scolaire;15;32032328;32032328;FAUX;32211032328;1
0020048S;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image;32211032329;952;Scolaire;15;32032329;32032329;FAUX;32211032329;1
0020048S;BTS - Services - Métiers de l'audio-visuel opt : métiers de l'image - en apprentissage;32211032329;471;Apprentissage;15;32032329;32032329;FAUX;32211032329;1
0020048S;BTS - Services - Métiers de l'audio-visuel opt : métiers du son;32211032330;668;Scolaire;15;32032330;32032330;FAUX;32211032330;1
0020048S;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production;32211032332;781;Scolaire;14;32032332;32032332;FAUX;32211032332;1
0020048S;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production - en apprentissage;32211032332;458;Apprentissage;15;32032332;32032332;FAUX;32211032332;1
0020048S;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements;32211032331;345;Scolaire;15;32032331;32032331;FAUX;32211032331;1
0020048S;BTS - Services - Métiers de l'audio-visuel opt : techn. d'ingeniérie et exploit. équipements - en apprentissage;32211032331;139;Apprentissage;15;32032331;32032331;FAUX;32211032331;1
0020049T;BTS - Services - Gestion de la PME;32211031409;476;Scolaire;35;32031409;32031409;FAUX;32211031409;1
0020049T;BTS - Services - Management Commercial Opérationnel;32211031213;368;Scolaire;35;32031213;32031213;FAUX;32211031213;1
0020049T;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;234;Apprentissage;12;32031213;32031213;FAUX;32211031213;1
0020050U;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;145;Scolaire;15;32022316;32022316;FAUX;32211022316;1
0020050U;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;110;Scolaire;15;32020111;32020111;FAUX;32211020111;1
0020050U;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux;32211020116;357;Scolaire;15;32020116;32020116;FAUX;32211020116;1
0020050U;BTS - Production - Electrotechnique;32211025520;156;Scolaire;30;32025520;32025520;FAUX;32211025520;1
0020050U;BTS - Services - Collaborateur juriste notarial;32211034502;974;Scolaire;24;32034502;32034502;FAUX;32211034502;1
0020050U;BTS - Services - Comptabilité et gestion;32211031408;1728;Scolaire;35;32031408;32031408;FAUX;32211031408;1
0020050U;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;271;Apprentissage;15;32031212;32031212;FAUX;32211031212;1
0020050U;BTS - Services - Support à l'action managériale;32211032409;586;Scolaire;35;32032409;32032409;FAUX;32211032409;1
0020052W;BTS - Production - Etude et réalisation d'agencement;32211023305;455;Scolaire;15;32023305;32023305;FAUX;32211023305;1
0020059D;BTS - Services - Comptabilité et gestion;32211031408;305;Scolaire;35;32031408;32031408;FAUX;32211031408;1
0020059D;BTS - Services - Management Commercial Opérationnel;32211031213;306;Scolaire;35;32031213;32031213;FAUX;32211031213;1
0020059D;BTS - Services - Support à l'action managériale;32211032409;156;Scolaire;35;32032409;32032409;FAUX;32211032409;1
0020060E;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole;32212021014;112;Scolaire;19;32021014;32021014;FAUX;32212021014;1
0020060E;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie;32212031203;136;Scolaire;19;32031203;32031203;FAUX;32212031203;1
0020078Z;BTS - Services - Tourisme - en apprentissage;32211033426;101;Apprentissage;14;32033426;32033426;FAUX;32211033426;1
0021476U;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;71;Scolaire;15;32020111;32020111;FAUX;32211020111;1
0021476U;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;92;Scolaire;15;32025415;32025415;FAUX;32211025415;1
0021502X;BTS - Services - Gestion de la PME - en apprentissage;32211031409;38;Apprentissage;40;32031409;32031409;FAUX;32211031409;1
0021502X;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;89;Apprentissage;40;32031213;32031213;FAUX;32211031213;1
0021502X;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;17;Apprentissage;20;32033422;32033422;FAUX;32211033422;1
0021502X;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;104;Apprentissage;40;32031212;32031212;FAUX;32211031212;1
0021502X;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;20;Apprentissage;40;32032409;32032409;FAUX;32211032409;1
0021522U;BTS - Agricole - productions animales;32212021205;267;Scolaire;36;32021205;32021205;FAUX;32212021205;1
0021740F;BTS - Production - Electrotechnique - en apprentissage;32211025520;36;Apprentissage;14;32025520;32025520;FAUX;32211025520;1
0021740F;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;33;Apprentissage;18;32025014;32025014;FAUX;32211025014;1
0021740F;BTS - Services - Gestion de la PME - en apprentissage;32211031409;39;Apprentissage;18;32031409;32031409;FAUX;32211031409;1
0021740F;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;79;Apprentissage;24;32031213;32031213;FAUX;32211031213;1
0021796S;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;6;Apprentissage;12;32025415;32025415;FAUX;32211025415;1
0021796S;BTS - Production - Electrotechnique - en apprentissage;32211025520;20;Apprentissage;10;32025520;32025520;FAUX;32211025520;1
0021796S;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;32;Apprentissage;14;32025014;32025014;FAUX;32211025014;1
0021796S;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;53;Apprentissage;18;32031213;32031213;FAUX;32211031213;1
0021818R;BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole - en apprentissage;32212021014;73;Apprentissage;24;32021014;32021014;FAUX;32212021014;1
0021818R;BTS - Agricole - génie des équipements agricoles - en apprentissage;32212021007;59;Apprentissage;24;32021007;32021007;FAUX;32212021007;1
0021818R;BTS - Agricole - Gestion et protection de la nature;32212021308;275;Scolaire;40;32021308;32021308;FAUX;32212021308;1
0021818R;BTS - Agricole - productions animales - en apprentissage;32212021205;66;Apprentissage;20;32021205;32021205;FAUX;32212021205;1
0021869W;BTS - Services - Management en hôtellerie restauration;32211033422;25;Scolaire;18;32033422;32033422;FAUX;32211033422;1
0021872Z;BTS - Services - Banque conseiller de clientèle - en apprentissage;32211031310;43;Apprentissage;20;32031310;32031310;FAUX;32211031310;1
0021872Z;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;88;Apprentissage;20;32031213;32031213;FAUX;32211031213;1
