Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session;Commentaire
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-23413 V;DMA;Facture instrumentale option piano;6899;2009-04-08;2011;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 5;321-25101 V;DMA;Horlogerie;830;1996-07-11;1998;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-23409 V;DMA;Lutherie;820;2000-05-31;2003;;.
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;010-22105 S;MC3;Cuisinier en desserts de restaurant;37380;1997-07-31;1998;;rénovation en cours
CPC Services et produits de consommation;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;010-24201 R;MC3;Essayage-retouche-vente;37234;1996-10-22;1997;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;01022706T;MC3;Maintenance des équipements thermiques individuels;37919;2022-10-11;2024;;Remplace 010-22701 T
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 3;010-25118 S;MC3;Réalisation de circuits oléo-hydrauliques et pneumatiques;36333;2002-07-30;2003;;.
CPC commerce;Secteur;Sous-secteur;Niveau 3;01022111W;MC3;Vendeur-Conseil en alimentation;37105;2022-06-23;2025;;remplace le 010-22106 W
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25312 R;MC4;Aéronautique option avionique;37924;2015-02-18;2016;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 4;010-22001 R;MC4;Agent de contrôle non destructif;955;1995-10-09;1996;;.
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;010-33412 P;MC4;Organisateur de réceptions;37922;2005-05-09;2006;;.
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;010-23304 S;MC4;Peinture décoration;738;2000-07-26;2002;;.
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;010-33414T;MC4;Sommellerie;37382;2022-12-30;2024;;Remplace le n° 010-33410T
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-25002 R;MC4;Technicien ascensoriste (service et modernisation);4105;2006-03-24;2007;;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33003 T;BAC PRO;Accompagnement soins et services à la personne option A - à domicile;12296;2011-05-11;2014;2024;Remplacé par le n°400-33007 T
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;400-25303 M;BAC PRO;Aéronautique option systèmes;37928;2013-04-12;2016;;.
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur;Niveau 4;400-22309 V;BAC PRO;Artisanat et métiers d'art - facteur d'orgues - option tuyautier;35320;2020-12-15;2021;;-
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 4;400-22003 U;BAC PRO;Bio-industries de transformation;7586;2009-09-01;2012;2025;Rénovation
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;400-22106 T;BAC PRO;Cuisine;37910;2011-05-31;2014;;.
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 4;40025519R;BAC PRO;Cybersécurité, Informatique et réseaux, Electronique;37489;2023-02-13;2026;;remplace le 4025513R et le 40025514R et le 40025515R
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;400-33603 T;BAC PRO;Esthétique cosmétique parfumerie;30312;2017-04-07;2020;2024;Remplacé par le n°400-33606 T
