code_rome;code_fiche_metier;code_ogr;libelle_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;code_rome_parent
G1209;30022;403078;Animateur de loisirs sportifs / Animatrice de loisirs sportifs;;N;N;O;N;G1204
G1210;30055;403958;Enseignant / Enseignante d'équitation;;;;;;G1204
G1301;179;188;Conception de produits touristiques;;;;;;
G1302;181;189;Optimisation de produits touristiques;;;;;;
G1303;177;190;Vente de voyages;;;;;;
G1401;595;191;Assistance de direction d'hôtel-restaurant;;;;;;
G1402;186;192;Management d'hôtel-restaurant;;;;;;
G1403;191;193;Gestion de structure de loisirs ou d'hébergement touristique;;;;;;
G1404;189;194;Responsable d'établissement de restauration collective;;;;;O;G1404
G1501;195;195;Personnel d'étage;;;;;;
G1502;193;196;Personnel polyvalent d'hôtellerie;;;;;;
G1503;198;197;Management du personnel d'étage;;;;;;
G1601;30046;198;Chef / Cheffe de cuisine;;N;N;N;O;G1601
G1602;205;199;Personnel de cuisine;;;;;;
G1603;208;200;Personnel polyvalent en restauration;;;;;;
G1604;200;201;Fabrication de crêpes ou pizzas;;;;;;
G1605;202;202;Plonge en restauration;;;;;;
G1606;30058;404039;Cuisinier / Cuisinière de collectivité;;;;;;G1602
G1607;30063;404040;Employé / Employée de restauration collective;;;;;;G1603
G1701;218;203;Conciergerie en hôtellerie;;;;;;
G1702;213;204;Personnel du hall;;;;;;
G1703;216;205;Réception en hôtellerie;;;;;;
G1801;223;206;Café, bar brasserie;;;;;;
G1802;228;207;Management du service en restauration;;;;;;
G1803;219;208;Service en restauration;;;;;;
G1804;221;209;Sommellerie;;;;;;
H1101;230;210;Assistance et support technique client;;;;;;
H1102;232;211;Management et ingénierie d'affaires;;;;;;
H1201;254;212;Expertise technique couleur en industrie;;;;;;
H1202;242;213;Conception et dessin de produits électriques et électroniques;;;;;;
H1203;237;214;Conception et dessin produits mécaniques;;;;;;
H1204;234;215;Design industriel;;;;;;
H1205;257;216;Études - modèles en industrie des matériaux souples;;;;;;
H1206;252;217;Management et ingénierie études, recherche et développement industriel;;;;;;
H1207;250;218;Rédaction technique;;;;;;
H1208;247;219;Intervention technique en études et conception en automatisme;;O;;;;
H1209;240;220;Intervention technique en études et développement électronique;;;;;;
H1210;244;221;Intervention technique en études, recherche et développement;;O;O;;;
H1301;262;222;Inspection de conformité;;;;;;
H1302;264;223;Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels;;;;;;
H1303;259;224;Intervention technique en Hygiène Sécurité Environnement -HSE- industriel;;;;;;
H1401;274;225;Management et ingénierie gestion industrielle et logistique;;;;;;
