Rentrée scolaire;UAI;Mef Bcp 11;Nombre d'élèves : Total
2020;0751708Z;23810025510;38
2020;0751708Z;32211025516;27
2020;0751708Z;32211025520;29
2020;0751708Z;32211031213;37
2020;0751708Z;32211031409;33
2020;0751708Z;32221025515;21
2020;0751708Z;32221025516;21
2020;0751710B;23210034301;9
2020;0751710B;23220034301;7
2020;0751710B;23820022004;19
2020;0751710B;23830022004;20
2020;0751710B;32211022003;18
2020;0751883P;32211033204;76
2020;0751883P;32211033426;74
2020;0751883P;32221032409;22
2020;0751883P;32221033426;69
2020;0752109K;23810030003;18
2020;0752109K;23820031213;73
2020;0752109K;23830031202;47
2020;0752388N;23810031211;117
2020;0752388N;23820031213;47
2020;0752388N;23830031202;48
2020;0752608C;23210022139;19
2020;0752608C;23220033412;19
2020;0752700C;23820030001;35
2020;0752799K;23220024322;7
2020;0752799K;23220031219;15
2020;0752845K;23220034405;13
2020;0752846L;23810031211;25
2020;0752846L;32211031309;24
2020;0752846L;32221031309;22
2020;0753217P;23810033404;14
2020;0753268V;23820031212;15
2020;0753268V;32211031212;35
2020;0753268V;32211031309;27
2020;0753268V;32211031408;36
2020;0753268V;32211031409;34
2020;0753268V;32211032002;35
2020;0753268V;32221031212;27
2020;0753268V;32221031311;33
2020;0753268V;32221032002;36
2020;0753350J;23810031211;70
2020;0753537M;32211022207;43
2020;0754015G;23810025006;5
2020;0754016H;23210022422;5
2020;0754016H;23220022422;6
2020;0754016H;23810032303;62
2020;0754016H;32211031213;29
2020;0754016H;32221031408;12
2020;0754025T;23220023441;6
2020;0754025T;23810023405;14
2020;0754025T;23810025510;40
2020;0754025T;23810025516;40
2020;0754025T;23820025513;15
2020;0754025T;23820025514;28
2020;0754025T;23830030001;38
2020;0754025T;32221031408;28
2020;0754029X;23210033204;13
2020;0754029X;23810031211;39
2020;0754029X;23820031213;30
2020;0754029X;32211031211;39
2020;0754029X;32221031213;55
2020;0754030Y;23210024241;13
2020;0754030Y;23820030001;7
2020;0754030Y;23830031202;39
2020;0754030Y;32211024207;53
2020;0754030Y;32211031213;70
2020;0754030Y;32A11031403;22
2020;0754030Y;32A31031403;16
2020;0754037F;32211033204;69
2020;0754037F;32221033204;57
2020;0754042L;23820030001;19
2020;0754042L;32211031408;30
2020;0754042L;32221032611;19
2020;0754045P;23830034403;45
2020;0754086J;32221031213;19
2020;0754086J;32221032610;6
2020;0754086J;32221032611;16
2020;0754239A;23810030003;24
2020;0754239A;23830030001;26
2020;0754239A;23830031202;25
2020;0754239A;23830033002;8
2020;0754475G;23810023405;7
2020;0754475G;23810023408;12
2020;0754475G;23820023408;11
2020;0754475G;32221020008;15
2020;0754476H;23820033403;24
2020;0754476H;23830022106;25
2020;0754476H;23830033403;22
2020;0754476H;23910033410;1
2020;0754476H;23910033413;15
2020;0754476H;32211033103;24
2020;0754476H;32221033424;17
2020;0754476H;32221033425;22
2020;0754530S;23810031211;24
2020;0754666P;32211031310;28
2020;0754666P;32211031409;32
2020;0754666P;32211032409;32
2020;0754666P;32211033103;21
2020;0754666P;32221031408;14
2020;0754666P;32221031409;29
2020;0754666P;32221033103;25
2020;0754924V;32211033001;35
2020;0755678P;32211033103;40
2020;0040003G;23830031210;16
2020;0040007L;23810030003;15
2020;0040007L;23820025219;6
2020;0040007L;23820033003;11
2020;0040007L;23830025220;11
2020;0040007L;23830033003;14
2020;0040007L;51111033102;14
2020;0040011R;23210033412;11
2020;0040011R;23220025434;8
2020;0040011R;23220033412;6
2020;0040011R;23810031211;63
2020;0040011R;23810033404;23
2020;0040011R;23820031214;30
2020;0040011R;23830022106;12
2020;0040011R;23830025214;12
2020;0040011R;23830031202;27
2020;0040011R;23830033403;9
2020;0040023D;23820033403;12
2020;0040023D;23830022106;12
2020;0040023D;23830033403;11
2020;0040023D;23910022105;14
2020;0040378P;23210023441;3
2020;0040378P;23210025431;4
2020;0040533H;23830025007;28
2020;0040533H;32221020111;21
2020;0050003B;23210023002;5
2020;0050003B;23820025007;11
2020;0050003B;23820030001;9
2020;0050005D;23810025510;6
2020;0050005D;23820023404;28
2020;0050008G;23820023004;14
2020;0050008G;23830023004;12
2020;0050009H;23210022139;10
2020;0050009H;23220022129;12
2020;0050009H;23810030003;14
2020;0050009H;23820030001;30
2020;0050009H;23820033403;12
2020;0050009H;23830031210;27
2020;0050009H;23830033403;11
2020;0050009H;32211033001;16
2020;0050027C;23210031224;9
2020;0050027C;23810025516;29
2020;0050027C;23820031214;14
2020;0050027C;23830025510;15
2020;0050039R;23210023002;6
2020;0050039R;23830022703;8
2020;0130001F;23810033005;30
2020;0130001F;23830033002;15
2020;0130001F;32211031409;54
2020;0130001F;32221031408;20
2020;0130001F;32221032409;16
2020;0130003H;23220025524;23
2020;0130003H;23830025007;36
2020;0130003H;23830025510;24
2020;0130003H;32211020112;15
2020;0130003H;32211025516;13
2020;0130006L;23820031212;24
2020;0130006L;23820031214;29
2020;0130006L;23830030001;51
2020;0130006L;23830031210;22
2020;0130010R;23220033411;8
2020;0130010R;23810031211;58
2020;0130010R;23810033404;34
2020;0130010R;23830031206;29
