UAI;LIBELLÉFORMATION;MEFSTAT11_old;NB_VOEUX_CONFIRMES;STATUT;CAPACITEPSUP;CFD;CFD rectifié;Rectif;MEFSTAT11;;
0593257V;BTS - Agricole - Aménagements paysagers;32212021401;189;Scolaire;36;32321401;32321401;FALSE;32212021401;;
0754037F;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;247;Apprentissage;25;32032612;32032612;FALSE;32211032612;;
0291792R;BTS - Services - Gestion de la PME - en apprentissage;32211031409;79;Apprentissage;22;32031409;32031409;FALSE;32211031409;;
0180036S;BTS - Production - Industries céramiques - en apprentissage;32211022404;9;Apprentissage;3;32022404;32022404;FALSE;32211022404;;
0382170C;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants - en apprentissage;32211022711;126;Apprentissage;14;32022711;32022711;FALSE;32211022711;;
0542295B;BTS - Production - Maintenance des véhicules option voitures particulières - en apprentissage;32211025215;93;Apprentissage;35;32025215;32025215;FALSE;32211025215;;
0542295B;BTS - Production - Maintenance des véhicules option véhicules de transport routier - en apprentissage;32211025216;31;Apprentissage;20;32025216;32025216;FALSE;32211025216;;
0542295B;BTS - Production - Electrotechnique - en apprentissage;32211025520;32;Apprentissage;15;32025520;32025520;FALSE;32211025520;;
0383232G;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;32211025015;54;Apprentissage;20;32025015;32025011;TRUE;32211025011;;
0640001D;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;74;Apprentissage;12;32032409;32032409;FALSE;32211032409;;
0922653J;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;90;Apprentissage;24;32025014;32025010;TRUE;32211025010;;
9711071M;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;66;Apprentissage;10;32032612;32032612;FALSE;32211032612;;
0590198V;BTS - Production - Management économique de la construction - en apprentissage;32211023013;38;Apprentissage;15;32023013;32023013;FALSE;32211023013;;
0301791J;BTS - Services - Economie sociale familiale - en apprentissage;32211033206;126;Apprentissage;30;32033206;32033204;TRUE;32211033204;;
0632067E;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie - en apprentissage;32212031203;76;Apprentissage;10;32331203;32331203;FALSE;32212031203;;
0060029Z;BTS - Services - Professions immobilières - en apprentissage;32211031309;1213;Apprentissage;12;32031309;32031309;FALSE;32211031309;;
0754101A;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;245;Apprentissage;;32032612;32032612;FALSE;32211032612;;
0763548U;BTS - Services - Professions immobilières - en apprentissage;32211031309;569;Apprentissage;20;32031309;32031309;FALSE;32211031309;;
0741469V;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;77;Apprentissage;22;32031212;32031212;FALSE;32211031212;;
0860034V;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;317;Apprentissage;3;32031213;32031213;FALSE;32211031213;;
0694378J;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;144;Apprentissage;60;32031216;32031216;FALSE;32211031216;;
0390799G;BTS - Services - Gestion de la PME - en apprentissage;32211031409;44;Apprentissage;;32031409;32031409;FALSE;32211031409;;
0611175W;BTS - Agricole - Technico-commercial - Spécialité univers jardins et animaux de compagnie - en apprentissage;32212031203;40;Apprentissage;20;32331203;32331203;FALSE;32212031203;;
0492303M;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;37;Apprentissage;6;32031408;32031408;FALSE;32211031408;;
0441552Y;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;211;Apprentissage;10;32031103;32031103;FALSE;32211031103;;
0542408Z;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;68;Apprentissage;25;32032409;32032409;FALSE;32211032409;;
0542408Z;BTS - Services - Service et prestation des secteurs sanitaire et social - en apprentissage;32211033002;77;Apprentissage;25;32033002;32033001;TRUE;32211033001;;
0300026R;BTS - Production - Maintenance des systèmes - option C Systèmes éoliens - en apprentissage;32211025016;101;Apprentissage;;32025016;32025012;TRUE;32211025012;;
0383474V;BTS - Services - Professions immobilières - en apprentissage;32211031309;237;Apprentissage;24;32031309;32031309;FALSE;32211031309;;
0542408Z;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;270;Apprentissage;25;32031213;32031213;FALSE;32211031213;;
0542408Z;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;41;Apprentissage;25;32025014;32025010;TRUE;32211025010;;
0772742M;BTS - Production - Systèmes numériques - Option informatique et réseaux - en apprentissage;32211020112;120;Apprentissage;28;32020112;32020112;FALSE;32211020112;;
0801742J;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;41;Apprentissage;15;32025014;32025010;TRUE;32211025010;;
0772742M;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;486;Apprentissage;110;32031213;32031213;FALSE;32211031213;;
0772742M;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;340;Apprentissage;90;32031212;32031212;FALSE;32211031212;;
0772742M;BTS - Services - Gestion de la PME - en apprentissage;32211031409;105;Apprentissage;35;32031409;32031409;FALSE;32211031409;;
0772742M;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;230;Apprentissage;84;32032612;32032612;FALSE;32211032612;;
0772742M;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;61;Apprentissage;70;32033422;32033422;FALSE;32211033422;;
0772742M;BTS - Services - Tourisme - en apprentissage;32211033426;215;Apprentissage;45;32033426;32033426;FALSE;32211033426;;
0780004F;BTS - Agricole - Production horticole;32212021111;213;Scolaire;21;32321111;32321111;FALSE;32212021111;;
0780004F;BTS - Agricole - Aménagements paysagers;32212021401;380;Scolaire;31;32321401;32321401;FALSE;32212021401;;
0301654K;BTS - Services - Economie sociale familiale - en apprentissage;32211033206;131;Apprentissage;;32033206;32033204;TRUE;32211033204;;
0780422K;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;531;Scolaire;18;32031212;32031212;FALSE;32211031212;;
0780422K;BTS - Services - Comptabilité et gestion;32211031408;318;Scolaire;35;32031408;32031408;FALSE;32211031408;;
0780515L;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;519;Scolaire;22;32031212;32031212;FALSE;32211031212;;
0780582J;BTS - Services - Services informatiques aux organisations;32211032612;604;Scolaire;35;32032612;32032612;FALSE;32211032612;;
0781023N;BTS - Agricole - Aménagements paysagers;32212021401;126;Scolaire;33;32321401;32321401;FALSE;32212021401;;
0781069N;BTS - Agricole - Agronomie : Productions végétales;32212021113;53;Scolaire;30;32321113;32321113;FALSE;32212021113;;
0781297L;BTS - Services - Management Commercial Opérationnel;32211031213;769;Scolaire;33;32031213;32031213;FALSE;32211031213;;
0781297L;BTS - Services - Professions immobilières (Seconde année en apprentissage);32211031309;660;Scolaire;33;32031309;32031309;FALSE;32211031309;;
0781297L;BTS - Services - Comptabilité et gestion;32211031408;457;Scolaire;33;32031408;32031408;FALSE;32211031408;;
0781512V;BTS - Services - Gestion de la PME;32211031409;449;Scolaire;35;32031409;32031409;FALSE;32211031409;;
0781578S;BTS - Services - Management en hôtellerie restauration;32211033422;183;Scolaire;70;32033422;32033422;FALSE;32211033422;;
0781578S;BTS - Services - Tourisme;32211033426;1507;Scolaire;70;32033426;32033426;FALSE;32211033426;;
0672602P;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;32;Apprentissage;12;32033422;32033422;FALSE;32211033422;;
0061909T;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;32211033606;167;Apprentissage;16;32033606;32033606;FALSE;32211033606;;
0081150G;BTS - Services - Comptabilité et gestion - en apprentissage;32211031408;27;Apprentissage;15;32031408;32031408;FALSE;32211031408;;
0081150G;BTS - Services - Gestion de la PME - en apprentissage;32211031409;46;Apprentissage;15;32031409;32031409;FALSE;32211031409;;
0260023J;BTS - Services - Assurance - en apprentissage;32211031311;88;Apprentissage;8;32031311;32031311;FALSE;32211031311;;
0260023J;BTS - Production - Electrotechnique - en apprentissage;32211025520;84;Apprentissage;6;32025520;32025520;FALSE;32211025520;;
0371099U;BTS - Production - Electrotechnique - en apprentissage;32211025520;111;Apprentissage;4;32025520;32025520;FALSE;32211025520;;
0370038R;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;241;Apprentissage;20;32032409;32032409;FALSE;32211032409;;
0451442Y;BTS - Services - Economie sociale familiale;32211033206;225;Scolaire;15;32033206;32033204;TRUE;32211033204;;
0781839A;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;581;Scolaire;35;32031212;32031212;FALSE;32211031212;;
0781839A;BTS - Services - Gestion de la PME;32211031409;526;Scolaire;35;32031409;32031409;FALSE;32211031409;;
0781845G;BTS - Services - Services informatiques aux organisations;32211032612;840;Scolaire;32;32032612;32032612;FALSE;32211032612;;
0781898P;BTS - Production - Conception et industrialisation en microtechniques;32211025005;258;Scolaire;24;32025005;32025005;FALSE;32211025005;;
0597013C;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;149;Apprentissage;80;32031213;32031213;FALSE;32211031213;;
0781948U;BTS - Production - Travaux publics;32211023107;239;Scolaire;15;32023107;32023107;FALSE;32211023107;;
0782092A;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;278;Apprentissage;60;32031213;32031213;FALSE;32211031213;;
0782539L;BTS - Services - Support à l'action managériale;32211032409;330;Scolaire;30;32032409;32032409;FALSE;32211032409;;
0782539L;BTS - Services - Comptabilité et gestion;32211031408;403;Scolaire;30;32031408;32031408;FALSE;32211031408;;
0782540M;BTS - Production - Electrotechnique;32211025520;183;Scolaire;22;32025520;32025520;FALSE;32211025520;;
0782546U;BTS - Services - Management Commercial Opérationnel;32211031213;1126;Scolaire;35;32031213;32031213;FALSE;32211031213;;
0782549X;BTS - Production - Electrotechnique;32211025520;192;Scolaire;24;32025520;32025520;FALSE;32211025520;;
0782549X;BTS - Services - Management Commercial Opérationnel;32211031213;595;Scolaire;35;32031213;32031213;FALSE;32211031213;;
0782556E;BTS - Production - Conception et Réalisation de Systèmes Automatiques (Seconde année possible en apprentissage);32211020111;150;Scolaire;26;32020111;32020111;FALSE;32211020111;;
0782556E;BTS - Production - Electrotechnique;32211025520;221;Scolaire;26;32025520;32025520;FALSE;32211025520;;
0782557F;BTS - Services - Support à l'action managériale;32211032409;505;Scolaire;35;32032409;32032409;FALSE;32211032409;;
0782557F;BTS - Services - Service et prestation des secteurs sanitaire et social;32211033002;643;Scolaire;30;32033002;32033001;TRUE;32211033001;;
0782557F;BTS - Services - Commerce International;32211031215;915;Scolaire;35;32031215;32031215;FALSE;32211031215;;
0782557F;BTS - Services - Comptabilité et gestion;32211031408;364;Scolaire;35;32031408;32031408;FALSE;32211031408;;
0241056T;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;19;Apprentissage;8;32033422;32033422;FALSE;32211033422;;
0133395V;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;109;Apprentissage;20;32031103;32031103;FALSE;32211031103;;
0740100G;BTS - Services - Analyses de biologie médicale - en apprentissage - UFA Lycée Saint-Joseph La Salle Thonon - CFA Arkéap;32211033109;159;Apprentissage;3;32033109;32033109;FALSE;32211033109;;
9720695Y;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;32211022710;35;Apprentissage;8;32022710;32022710;FALSE;32211022710;;
9720695Y;BTS - Production - Assistance technique d'ingénieur - en apprentissage;32211025001;24;Apprentissage;8;32025001;32025001;FALSE;32211025001;;
9720695Y;BTS - Production - Maintenance des véhicules option voitures particulières - en apprentissage;32211025215;51;Apprentissage;8;32025215;32025215;FALSE;32211025215;;
0694434V;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;77;Apprentissage;20;32031212;32031212;FALSE;32211031212;;
0694434V;BTS - Services - Gestion de la PME - en apprentissage;32211031409;91;Apprentissage;20;32031409;32031409;FALSE;32211031409;;
0912422N;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;57;Apprentissage;;32032409;32032409;FALSE;32211032409;;
0912422N;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants - en apprentissage;32211022711;48;Apprentissage;;32022711;32022711;FALSE;32211022711;;
0912422N;BTS - Production - Systèmes numériques - Option informatique et réseaux - en apprentissage;32211020112;56;Apprentissage;;32020112;32020112;FALSE;32211020112;;
0596906L;BTS - Services - Tourisme - en apprentissage;32211033426;98;Apprentissage;30;32033426;32033426;FALSE;32211033426;;
0081151H;BTS - Services - Banque conseiller de clientèle - en apprentissage - Entièrement en distanciel;32211031310;53;Apprentissage;10;32031310;32031310;FALSE;32211031310;;
0081151H;BTS - Services - Commerce International - en apprentissage - Entièrement en distanciel;32211031215;47;Apprentissage;10;32031215;32031215;FALSE;32211031215;;
0081151H;BTS - Services - Gestion de la PME - en apprentissage - Entièrement en distanciel;32211031409;35;Apprentissage;15;32031409;32031409;FALSE;32211031409;;
0081151H;BTS - Services - Management Commercial Opérationnel - en apprentissage - Entièrement en distanciel;32211031213;32;Apprentissage;15;32031213;32031213;FALSE;32211031213;;
0782565P;BTS - Production - Conception de produits industriels;32211020009;281;Scolaire;26;32020009;32020009;FALSE;32211020009;;
0782565P;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;569;Scolaire;26;32020112;32020112;FALSE;32211020112;;
0782565P;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;178;Scolaire;22;32022316;32022316;FALSE;32211022316;;
0782565P;BTS - Production - Electrotechnique;32211025520;385;Scolaire;26;32025520;32025520;FALSE;32211025520;;
0782565P;BTS - Production - Systèmes numériques - Option électronique et communication;32211025516;311;Scolaire;22;32025516;32025516;FALSE;32211025516;;
0782565P;BTS - Production - Systèmes numériques - Option informatique et réseaux - en apprentissage;32211020112;462;Apprentissage;14;32020112;32020112;FALSE;32211020112;;
0782565P;BTS - Production - Electrotechnique - en apprentissage;32211025520;275;Apprentissage;14;32025520;32025520;FALSE;32211025520;;
0782567S;BTS - Services - Collaborateur juriste notarial;32211034502;1108;Scolaire;35;32034502;32034501;TRUE;32211034501;;
0782567S;BTS - Services - Support à l'action managériale;32211032409;497;Scolaire;35;32032409;32032409;FALSE;32211032409;;
0782567S;BTS - Services - Analyses de biologie médicale;32211033109;1869;Scolaire;60;32033109;32033109;FALSE;32211033109;;
0782567S;BTS - Services - Management Commercial Opérationnel;32211031213;1067;Scolaire;35;32031213;32031213;FALSE;32211031213;;
0782567S;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;1166;Scolaire;35;32031212;32031212;FALSE;32211031212;;
0782567S;BTS - Services - Comptabilité et gestion;32211031408;1258;Scolaire;35;32031408;32031408;FALSE;32211031408;;
0782587N;BTS - Production - Fluide, énergie, domotique - option A génie climatique et fluidique;32211022709;116;Scolaire;15;32022709;32022709;FALSE;32211022709;;
0782587N;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques;32211025015;151;Scolaire;15;32025015;32025011;TRUE;32211025011;;
0782822U;BTS - Services - Banque conseiller de clientèle;32211031310;527;Scolaire;30;32031310;32031310;FALSE;32211031310;;
0782924E;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;1288;Scolaire;35;32031212;32031212;FALSE;32211031212;;
0782924E;BTS - Services - Banque conseiller de clientèle;32211031310;652;Scolaire;35;32031310;32031310;FALSE;32211031310;;
0782924E;BTS - Services - Comptabilité et gestion;32211031408;761;Scolaire;35;32031408;32031408;FALSE;32211031408;;
0782822U;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;520;Apprentissage;20;32031212;32031212;FALSE;32211031212;;
0783323N;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;91;Apprentissage;25;32032409;32032409;FALSE;32211032409;;
0783323N;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;289;Apprentissage;30;32031213;32031213;FALSE;32211031213;;
0783323N;BTS - Services - Gestion de la PME - en apprentissage;32211031409;117;Apprentissage;20;32031409;32031409;FALSE;32211031409;;
0783344L;BTS - Production - Métiers de la chimie;32211022208;119;Scolaire;32;32022208;32022208;FALSE;32211022208;;
0783344L;BTS - Services - Management Commercial Opérationnel;32211031213;233;Scolaire;40;32031213;32031213;FALSE;32211031213;;
0783344L;BTS - Services - Commerce International - en apprentissage;32211031215;156;Apprentissage;20;32031215;32031215;FALSE;32211031215;;
0783344L;BTS - Services - Communication - en apprentissage;32211032002;179;Apprentissage;25;32032002;32032002;FALSE;32211032002;;
0542161F;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;269;Apprentissage;30;32031212;32031212;FALSE;32211031212;;
0783351U;BTS - Services - Commerce International;32211031215;821;Scolaire;35;32031215;32031215;FALSE;32211031215;;
0783351U;BTS - Services - Management Commercial Opérationnel;32211031213;492;Scolaire;35;32031213;32031213;FALSE;32211031213;;
0783351U;BTS - Services - Comptabilité et gestion;32211031408;195;Scolaire;35;32031408;32031408;FALSE;32211031408;;
0783351U;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;138;Apprentissage;30;32032409;32032409;FALSE;32211032409;;
0783351U;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;502;Apprentissage;30;32031213;32031213;FALSE;32211031213;;
0783351U;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;520;Apprentissage;60;32031212;32031212;FALSE;32211031212;;
0783351U;BTS - Services - Gestion de la PME - en apprentissage;32211031409;189;Apprentissage;30;32031409;32031409;FALSE;32211031409;;
0783455G;BTS - Agricole - Gestion et protection de la nature;32212021308;181;Scolaire;28;32321308;32321308;FALSE;32212021308;;
0783533S;BTS - Services - Management Commercial Opérationnel;32211031213;814;Scolaire;35;32031213;32031213;FALSE;32211031213;;
0783533S;BTS - Services - Gestion de la PME;32211031409;518;Scolaire;35;32031409;32031409;FALSE;32211031409;;
0790007D;BTS - Services - Gestion de la PME;32211031409;167;Scolaire;18;32031409;32031409;FALSE;32211031409;;
0790007D;BTS - Services - Comptabilité et gestion;32211031408;128;Scolaire;18;32031408;32031408;FALSE;32211031408;;
0790019S;BTS - Services - Gestion de la PME;32211031409;1016;Scolaire;20;32031409;32031409;FALSE;32211031409;;
0790023W;BTS - Services - Support à l'action managériale;32211032409;191;Scolaire;24;32032409;32032409;FALSE;32211032409;;
0790024X;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;117;Scolaire;20;32025014;32025010;TRUE;32211025010;;
0790024X;BTS - Production - Conception et réalisation en chaudronnerie industrielle;32211025415;158;Scolaire;20;32025415;32025415;FALSE;32211025415;;
0790024X;BTS - Production - Conception et réalisation de carrosseries;32211025411;136;Scolaire;20;32025411;32025411;FALSE;32211025411;;
0790024X;BTS - Production - Electrotechnique;32211025520;123;Scolaire;20;32025520;32025520;FALSE;32211025520;;
0790024X;BTS - Production - Fluide, énergie, domotique - option C domotique et bâtiment communicants;32211022711;67;Scolaire;20;32022711;32022711;FALSE;32211022711;;
0790024X;BTS - Services - Conseil et commercialisation de solutions techniques;32211031216;87;Scolaire;20;32031216;32031216;FALSE;32211031216;;
0790024X;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;24;Apprentissage;4;32031216;32031216;FALSE;32211031216;;
0542161F;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;55;Apprentissage;30;32032409;32032409;FALSE;32211032409;;
0782565P;BTS - Production - Systèmes numériques - Option électronique et communication - Parcours Armée de Terre / Défense;32211025516;183;Scolaire;3;32025516;32025516;FALSE;32211025516;;
9710993C;BTS - Services - Tourisme;32211033426;153;Scolaire;25;32033426;32033426;FALSE;32211033426;;
0261504U;BTS - Services - Assurance - en apprentissage;32211031311;92;Apprentissage;15;32031311;32031311;FALSE;32211031311;;
0261504U;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;288;Apprentissage;18;32031212;32031212;FALSE;32211031212;;
0632081V;BTS - Services - Tourisme - en apprentissage;32211033426;126;Apprentissage;30;32033426;32033426;FALSE;32211033426;;
0382896S;BTS - Services - Services informatiques aux organisations - en apprentissage;32211032612;105;Apprentissage;30;32032612;32032612;FALSE;32211032612;;
0382896S;BTS - Services - Support à l'action managériale - en apprentissage;32211032409;62;Apprentissage;30;32032409;32032409;FALSE;32211032409;;
0382896S;BTS - Services - Professions immobilières - en apprentissage;32211031309;249;Apprentissage;30;32031309;32031309;FALSE;32211031309;;
0790029C;BTS - Services - Management Commercial Opérationnel;32211031213;1217;Scolaire;31;32031213;32031213;FALSE;32211031213;;
0790036K;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;378;Scolaire;21;32022316;32022316;FALSE;32211022316;;
0790036K;BTS - Services - Support à l'action managériale;32211032409;56;Scolaire;18;32032409;32032409;FALSE;32211032409;;
0790080H;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;149;Scolaire;18;32031212;32031212;FALSE;32211031212;;
0790080H;BTS - Services - Services informatiques aux organisations;32211032612;154;Scolaire;18;32032612;32032612;FALSE;32211032612;;
0711422K;BTS - Services - Professions immobilières - en apprentissage;32211031309;428;Apprentissage;;32031309;32031309;FALSE;32211031309;;
0342156J;BTS - Services - Management en hôtellerie restauration - en apprentissage;32211033422;27;Apprentissage;;32033422;32033422;FALSE;32211033422;;
0342156J;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;32211031212;119;Apprentissage;;32031212;32031212;FALSE;32211031212;;
0301649E;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;32211022710;85;Apprentissage;16;32022710;32022710;FALSE;32211022710;;
0301649E;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;32211025015;56;Apprentissage;16;32025015;32025011;TRUE;32211025011;;
0301649E;BTS - Services - Opticien-Lunetier - en apprentissage;32211033107;372;Apprentissage;25;32033107;32033107;FALSE;32211033107;;
0300026R;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;103;Apprentissage;12;32031216;32031216;FALSE;32211031216;;
0300026R;BTS - Production - Management économique de la construction - en apprentissage;32211023013;126;Apprentissage;12;32023013;32023013;FALSE;32211023013;;
0300026R;BTS - Production - Enveloppe des bâtiments : conception et réalisation - en apprentissage;32211023205;113;Apprentissage;;32023205;32023205;FALSE;32211023205;;
0300026R;BTS - Production - Métiers du géomètre-topographe et de la modélisation numérique - en apprentissage;32211023108;228;Apprentissage;25;32023108;32023108;FALSE;32211023108;;
0442925R;BTS - Services - Conseil et commercialisation de solutions techniques - en apprentissage;32211031216;77;Apprentissage;35;32031216;32031216;FALSE;32211031216;;
0342009Z;BTS - Agricole - Viticulture-Oenologie - en apprentissage;32212021112;35;Apprentissage;15;32321112;32321112;FALSE;32212021112;;
0110681F;BTS - Production - Maintenance des véhicules option voitures particulières - en apprentissage;32211025215;50;Apprentissage;36;32025215;32025215;FALSE;32211025215;;
0341985Y;BTS - Services - Gestion des transports et logistique associée - en apprentissage;32211031103;75;Apprentissage;25;32031103;32031103;FALSE;32211031103;;
0341919B;BTS - Production - Architectures en Métal : conception et Réalisation - en apprentissage;32211025416;48;Apprentissage;10;32025416;32025416;FALSE;32211025416;;
0341919B;BTS - Production - Conception et réalisation en chaudronnerie industrielle - en apprentissage;32211025415;63;Apprentissage;20;32025415;32025415;FALSE;32211025415;;
0341919B;BTS - Production - Conception des processus de réalisation de produits (1ère année commune) - en apprentissage;32211022316;32;Apprentissage;10;32022316;32022316;FALSE;32211022316;;
0341919B;BTS - Production - Systèmes numériques - Option électronique et communication - en apprentissage;32211025516;45;Apprentissage;20;32025516;32025516;FALSE;32211025516;;
0341919B;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;60;Apprentissage;30;32025014;32025010;TRUE;32211025010;;
0080047H;BTS - Production - Electrotechnique - en apprentissage;32211025520;35;Apprentissage;15;32025520;32025520;FALSE;32211025520;;
0300106C;BTS - Production - Métiers de la chimie - en apprentissage;32211022208;76;Apprentissage;18;32022208;32022208;FALSE;32211022208;;
0080008R;BTS - Production - Assistance technique d'ingénieur - en apprentissage;32211025001;40;Apprentissage;15;32025001;32025001;FALSE;32211025001;;
0300106C;BTS - Production - Métiers de l'eau - en apprentissage;32211020114;52;Apprentissage;18;32020114;32020114;FALSE;32211020114;;
0210018F;BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air - en apprentissage;32211022710;99;Apprentissage;15;32022710;32022710;FALSE;32211022710;;
0210018F;BTS - Production - Maintenance des systèmes - option B Systèmes énergétiques et fluidiques - en apprentissage;32211025015;83;Apprentissage;15;32025015;32025011;TRUE;32211025011;;
0110680E;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;122;Apprentissage;;32031213;32031213;FALSE;32211031213;;
0921230M;BTS - Services - Opticien-Lunetier;32211033107;787;Scolaire;28;32033107;32033107;FALSE;32211033107;;
0601996U;BTS - Agricole - Aménagements paysagers - en apprentissage;32212021401;75;Apprentissage;25;32321401;32321401;FALSE;32212021401;;
0601996U;BTS - Agricole - Production horticole - en apprentissage;32212021111;31;Apprentissage;25;32321111;32321111;FALSE;32212021111;;
0860995P;BTS - Services - Gestion de la PME - en apprentissage;32211031409;24;Apprentissage;24;32031409;32031409;FALSE;32211031409;;
0590184E;BTS - Services - Métiers de l'audio-visuel opt : gestion de la production - en apprentissage;32211032328;267;Apprentissage;5;32032328;32032328;FALSE;32211032328;;
0590184E;BTS - Services - Métiers de l'audio-visuel opt : montage et post-production - en apprentissage;32211032332;481;Apprentissage;5;32032332;32032332;FALSE;32211032332;;
0020014E;BTS - Services - Management Commercial Opérationnel - en apprentissage;32211031213;233;Apprentissage;20;32031213;32031213;FALSE;32211031213;;
0222043B;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;32211025014;36;Apprentissage;4;32025014;32025010;TRUE;32211025010;;
0130050J;BTS - Production - Enveloppe des bâtiments : conception et réalisation - en apprentissage;32211023205;127;Apprentissage;12;32023205;32023205;FALSE;32211023205;;
0171418Z;BTS - Services - Négociation et digitalisation de la Relation Client;32211031212;967;Scolaire;35;32031212;32031212;FALSE;32211031212;;
0451653C;BTS - Production - Conception et Réalisation de Systèmes Automatiques - en apprentissage;32211020111;35;Apprentissage;14;32020111;32020111;FALSE;32211020111;;
0270003G;BTS - Services - Gestion de la PME;32211031409;159;Scolaire;35;32031409;32031409;FALSE;32211031409;;
0270016W;BTS - Services - Collaborateur juriste notarial;32211034502;724;Scolaire;24;32034502;32034501;TRUE;32211034501;;
0270016W;BTS - Services - Support à l'action managériale;32211032409;263;Scolaire;35;32032409;32032409;FALSE;32211032409;;
0270016W;BTS - Services - Comptabilité et gestion;32211031408;369;Scolaire;35;32031408;32031408;FALSE;32211031408;;
0270017X;BTS - Production - Maintenance des systèmes - option A Systèmes de production;32211025014;139;Scolaire;15;32025014;32025010;TRUE;32211025010;;
0270017X;BTS - Production - Systèmes numériques - Option informatique et réseaux;32211020112;235;Scolaire;15;32020112;32020112;FALSE;32211020112;;
0270017X;BTS - Production - Conception des processus de réalisation de produits (1ère année commune);32211022316;145;Scolaire;15;32022316;32022316;FALSE;32211022316;;
0270017X;BTS - Production - Systèmes numériques - Option électronique et communication;32211025516;135;Scolaire;15;32025516;32025516;FALSE;32211025516;;
0270026G;BTS - Services - Gestion de la PME;32211031409;287;Scolaire;35;32031409;32031409;FALSE;32211031409;;
0270044B;BTS - Production - Conception et Réalisation de Systèmes Automatiques;32211020111;119;Scolaire;15;32020111;32020111;FALSE;32211020111;;
0270044B;BTS - Services - Support à l'action managériale;32211032409;179;Scolaire;18;32032409;32032409;FALSE;32211032409;;
