Etablissement d'accueil;Sigle de l'établissement d'accueil;Libellé de l'établissement d'accueil;Commune de l'établissement d'accueil;Département de l'établissement d'accueil;Libellé voie d’orientation;Mnémonique MEF national de rattachement;Code spécialité du MEF national de rattachement;MEF STAT 11;Libellé du MEF national de rattachement;Type de MEF;Code Ministère;Secteur ;Palier minimum autorisé pour la saisie du voeu;Voeu de recensement O/N;Statut Offre de formation;Capacité carte scolaire;Capacité d'affectation;Taux de pression (Total demandes vœux 1 / Capacité carte scolaire);Demandes vœux 1;Demandes tous vœux;Affectés voeu 1;Affectés tous vœux
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;CAP;1CAP2;22142.0;23210022142;1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE);Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;7;0;5;29;3;7
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;CAP;1CAP2;22142.0;23210022142;1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE);National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;17;1,67;40;124;16;17
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;CAP;1CAP2;31224.0;23210031224;1CAP2  EQUIPIER POLYVALENT DU COMMERCE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;7;0;11;45;7;7
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;CAP;1CAP2;31224.0;23210031224;1CAP2  EQUIPIER POLYVALENT DU COMMERCE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;17;1,96;47;204;16;17
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;CAP;1CAP2;33205.0;23210033205;1CAP2  ACCOMPAG. EDUCATIF PETITE ENFANCE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;28;24;1,32;37;193;13;24
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;CAP;1CAP2;33205.0;23210033205;1CAP2  ACCOMPAG. EDUCATIF PETITE ENFANCE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;4;0;9;40;3;4
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;CAP;1CAP2;34308.0;23210034308;1CAP2  PROPR. & PREV. BIOCONTAMINATIONS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;8;0,75;9;45;4;8
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;CAP;1CAP2;34308.0;23210034308;1CAP2  PROPR. & PREV. BIOCONTAMINATIONS;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;4;0;1;26;1;4
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;30003.0;23810030003;2NDPRO MET.GEST.ADM.,TRA.&LOG.2NDE COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;90;90;0,59;53;280;50;90
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;31211.0;23810031211;2NDPRO MET. RELATION CLIENT 2NDE COMMUNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;60;60;1,35;81;371;52;60
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;33006.0;23810033006;2NDPRO ANIMAT. ENFANCE& PERSONNES AGEES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;30;30;2,03;61;282;23;30
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;33007.0;23810033007;2NDPRO ACCOMP. SOINS-SERVICES PERSONNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;30;15;2,37;71;159;15;15
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;34306.0;23810034306;2NDPRO HYGIENE PROPRETE STERILISATION;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;12;1,17;14;77;9;12
9740082W;LP;JULIEN DE RONTAUNAY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;33007.0;23810033007;2NDPRO ACCOMP. SOINS-SERVICES PERSONNE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;15;0;21;102;12;15
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;22707.0;23820022707;1ERPRO INSTAL.CHAUF.CLIMAT.ENERG.RENOUV.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;0,25;3;37;3;9
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;23004.0;23820023004;1ERPRO TECHN. ETUDES BAT.A ETUDES & ECO.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;1;12;34;9;12
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;23005.0;23820023005;1ERPRO TECHN. ETUDES BAT B ASSIST.ARCHI.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;1,08;13;33;12;12
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;23104.0;23820023104;1ERPRO GEOMETRE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;0,42;5;34;5;9
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;23203.0;23820023203;1ERPRO TECHNICIEN BAT. : ORG.REAL.GROS O;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;1;12;31;10;12
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;23206.0;23820023206;1ERPRO INTERV. SUR PATRIMOINE BATI OPT.B;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;0,67;8;21;8;9
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;23210.0;23820023210;1ERPRO TRAVAUX PUBLICS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;1,42;17;34;12;12
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;23405.0;23820023405;1ERPRO TECHNICIEN MENUISIER AGENCEUR;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;1,42;17;26;12;12
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;23408.0;23820023408;1ERPRO ETUDE ET REALISATION D'AGENCEMENT;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;0,58;7;20;7;8
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;25517.0;23820025517;1ERPRO MET.FROID & ENERGIES RENOUVEL.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;1,25;15;41;12;12
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;25520.0;23820025520;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;1;24;40;21;24
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;30004.0;23820030004;1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;29;0,97;29;89;26;29
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;31212.0;23820031212;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,13;17;40;13;15
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;31213.0;23820031213;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;1;30;44;29;30
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;22714.0;23210022714;1CAP2  INSTALL. FROID CONDITIONN. D'AIR;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;4;0;3;23;1;4
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;22714.0;23210022714;1CAP2  INSTALL. FROID CONDITIONN. D'AIR;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;8;0,67;8;74;5;8
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23123.0;23210023123;1CAP2  COND.ENGINS TVX PUBLICS&CARRIERES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;20;17;1,15;23;122;16;17
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23124.0;23210023124;1CAP2  CONSTR. RESEAUX CANALISATIONS TP;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;9;0,33;4;58;4;9
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23124.0;23210023124;1CAP2  CONSTR. RESEAUX CANALISATIONS TP;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;3;0;0;11;0;3
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23123.0;23210023123;1CAP2  COND.ENGINS TVX PUBLICS&CARRIERES;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;3;0;12;42;3;3
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23324.0;23210023324;1CAP2  MONTEUR INSTALLATIONS SANITAIRES;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;0;0;0;13;0;0
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23324.0;23210023324;1CAP2  MONTEUR INSTALLATIONS SANITAIRES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;12;0,25;3;51;3;12
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23325.0;23210023325;1CAP2  CARRELEUR MOSAISTE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;9;0,67;8;75;4;9
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23325.0;23210023325;1CAP2  CARRELEUR MOSAISTE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;3;0;3;13;3;3
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23446.0;23210023446;1CAP2  CHARPENTIER BOIS;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;3;0;1;11;1;3
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23446.0;23210023446;1CAP2  CHARPENTIER BOIS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;9;0,33;4;47;4;9
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23447.0;23210023447;1CAP2  MENUISIER FABRICANT;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;12;11;0,92;11;57;9;11
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;23447.0;23210023447;1CAP2  MENUISIER FABRICANT;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;1;0;0;14;0;1
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;31224.0;23210031224;1CAP2  EQUIPIER POLYVALENT DU COMMERCE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;7;0;5;51;4;7
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;CAP;1CAP2;31224.0;23210031224;1CAP2  EQUIPIER POLYVALENT DU COMMERCE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;17;1,17;28;195;11;17
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20006.0;23810020006;2NDPRO MET.CON.DUR.BAT.&TRA.PUB.2NDE COM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;36;36;0,58;21;144;21;36
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20008.0;23810020008;2NDPRO MET.TRANSIT.NUMER.ENERG.2NDE COMM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;48;48;0,58;28;168;28;46
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;23007.0;23810023007;2NDPRO MET.ETUD.MODELIS.NUMER.2NDE COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;36;36;0,67;24;104;24;34
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;23409.0;23810023409;2NDPRO MET.AGENC.MENUIS.AMEUB.2NDE COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;24;0,46;11;88;11;24
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;30003.0;23810030003;2NDPRO MET.GEST.ADM.,TRA.&LOG.2NDE COMM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;30;30;1,23;37;235;27;30
9740737H;LP LYC METIER;ALBERT RAMASSAMY;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;31211.0;23810031211;2NDPRO MET. RELATION CLIENT 2NDE COMMUNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;45;45;0,96;43;299;36;45
9741620T;LPO;MEMONA HINTERMANN-AFFEJEE;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;25519.0;23820025519;1ERPRO CYBER.INFORM.&RESEAUX ELECTRON.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;24;24;1,08;26;34;24;24
9741620T;LPO;MEMONA HINTERMANN-AFFEJEE;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;31212.0;23820031212;1ERPRO METIERS DE L'ACCUEIL;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1,53;23;68;14;15
9741620T;LPO;MEMONA HINTERMANN-AFFEJEE;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;31213.0;23820031213;1ERPRO MET.COM.VEN.OP.A ANI.GES.ESP.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;30;30;0,73;22;63;21;30
9741620T;LPO;MEMONA HINTERMANN-AFFEJEE;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;31214.0;23820031214;1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;15;15;1;15;53;14;15
9741620T;LPO;MEMONA HINTERMANN-AFFEJEE;SAINT-DENIS;LA REUNION;CAP;1CAP2;31224.0;23210031224;1CAP2  EQUIPIER POLYVALENT DU COMMERCE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;5;0;1;25;1;5
9741620T;LPO;MEMONA HINTERMANN-AFFEJEE;SAINT-DENIS;LA REUNION;CAP;1CAP2;31224.0;23210031224;1CAP2  EQUIPIER POLYVALENT DU COMMERCE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;19;0,17;4;105;4;19
9741620T;LPO;MEMONA HINTERMANN-AFFEJEE;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20008.0;23810020008;2NDPRO MET.TRANSIT.NUMER.ENERG.2NDE COMM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;24;0,92;22;80;22;24
9741620T;LPO;MEMONA HINTERMANN-AFFEJEE;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;31211.0;23810031211;2NDPRO MET. RELATION CLIENT 2NDE COMMUNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;60;60;0,6;36;204;34;60
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;25214.0;23820025214;1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;25;25;0,84;21;28;21;22
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;25214.0;23820025214;1ERPRO MAINT.VEHIC.OPTA VOIT.PARTICUL.;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;5;3;0,4;2;3;2;2
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;25412.0;23820025412;1ERPRO CARROSSIER PEINTRE AUTOMOBILE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;20;20;1,15;23;25;20;20
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;25519.0;23820025519;1ERPRO CYBER.INFORM.&RESEAUX ELECTRON.;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;1,5;18;37;12;12
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;1ERE PROFESSIONNELLE;1ERPRO;25520.0;23820025520;1ERPRO METIERS ELECT. ENVIRON. CONNECTES;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;2nde;N;ST;12;12;1,17;14;30;12;12
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;CAP;1CAP2;25225.0;23210025225;1CAP2  MAINT.VEHIC.OPT.VEHIC.LEGERS;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;6;0;7;35;5;6
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;CAP;1CAP2;25225.0;23210025225;1CAP2  MAINT.VEHIC.OPT.VEHIC.LEGERS;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;20;14;0,8;16;98;10;14
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;CAP;1CAP2;25440.0;23210025440;1CAP2  CARROSSIER AUTOMOBILE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;3;0;3;29;2;3
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;CAP;1CAP2;25440.0;23210025440;1CAP2  CARROSSIER AUTOMOBILE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;10;7;1;10;101;5;7
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;CAP;1CAP2;25441.0;23210025441;1CAP2  PEINTRE AUTOMOBILE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;10;7;1,1;11;106;3;7
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;CAP;1CAP2;25441.0;23210025441;1CAP2  PEINTRE AUTOMOBILE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;3;0;7;33;1;3
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;CAP;1CAP2;31122.0;23210031122;1CAP2  OPERATEUR/OPERATRICE LOGISTIQUE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;6;0;2;26;2;6
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;CAP;1CAP2;31122.0;23210031122;1CAP2  OPERATEUR/OPERATRICE LOGISTIQUE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;18;0,17;4;88;4;18
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;20008.0;23810020008;2NDPRO MET.TRANSIT.NUMER.ENERG.2NDE COMM;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;24;24;1,33;32;158;19;24
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;25222.0;23810025222;2NDPRO MET.MAIN.MATER.VEHIC.2NDE COMMUNE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;20;10;2,1;42;94;10;10
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;25412.0;23810025412;2NDPRO CARROSSIER PEINTRE AUTOMOBILE;National;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;20;10;0,9;18;74;8;10
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;25222.0;23810025222;2NDPRO MET.MAIN.MATER.VEHIC.2NDE COMMUNE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;10;0;22;50;9;10
9740053P;LPO LYC METIER;GEORGES BRASSENS;SAINT-DENIS;LA REUNION;SECONDE PRO BACPRO 3ANS / 1E ANNEE BEP;2NDPRO;25412.0;23810025412;2NDPRO CARROSSIER PEINTRE AUTOMOBILE;Affectation;MINISTERE DE L'EDUCATION NATIONALE;PUBLIC;3eme;N;ST;0;10;0;17;63;9;10
9741685N;OF CFA;ONE TO ONE ST DENIS;SAINT-DENIS;LA REUNION;CAP;1CAP2;33616.0;23210033616;1CAP2  METIERS DE LA COIFFURE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;1;13;0;0
9740986D;OF CFA;URMA DE SAINTE CLOTILDE;SAINT-DENIS;LA REUNION;CAP;1CAP2;22137.0;23210022137;1CAP2  BOULANGER;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;1;9;0;0
9740986D;OF CFA;URMA DE SAINTE CLOTILDE;SAINT-DENIS;LA REUNION;CAP;1CAP2;22138.0;23210022138;1CAP2  GLACIER-FABRICANT;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;0;1;0;0
9740986D;OF CFA;URMA DE SAINTE CLOTILDE;SAINT-DENIS;LA REUNION;CAP;1CAP2;22141.0;23210022141;1CAP2  PATISSIER;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;3;15;0;0
9740986D;OF CFA;URMA DE SAINTE CLOTILDE;SAINT-DENIS;LA REUNION;CAP;1CAP2;22143.0;23210022143;1CAP2  BOUCHER;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;1;12;0;0
9740986D;OF CFA;URMA DE SAINTE CLOTILDE;SAINT-DENIS;LA REUNION;CAP;1CAP2;22144.0;23210022144;1CAP2  CHARCUTERIE-TRAITEUR;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;1;2;0;0
9740986D;OF CFA;URMA DE SAINTE CLOTILDE;SAINT-DENIS;LA REUNION;CAP;1CAP2;22145.0;23210022145;1CAP2  CHOCOLATERIE-CONFISERIE;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;0;1;0;0
9740986D;OF CFA;URMA DE SAINTE CLOTILDE;SAINT-DENIS;LA REUNION;CAP;1CAP2;22714.0;23210022714;1CAP2  INSTALL. FROID CONDITIONN. D'AIR;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;0;3;0;0
9740986D;OF CFA;URMA DE SAINTE CLOTILDE;SAINT-DENIS;LA REUNION;CAP;1CAP2;25439.0;23210025439;1CAP2  METALLIER;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;2;3;0;0
9740986D;OF CFA;URMA DE SAINTE CLOTILDE;SAINT-DENIS;LA REUNION;CAP;1CAP2;25524.0;23210025524;1CAP2  ELECTRICIEN;National;MINISTERE DE L'EDUCATION NATIONALE;PRIVE;3eme;N;AP;999;999;0;0;3;0;0
