Rentrée scolaire,Académie 2020,Académie 2020 Lib L,UAI,Patronyme,Adresse condensée,Code postal,Commune d'implantation,Commune d'implantation Lib L,Commune et arrondissement,Commune et arrondissement Lib L,Secteur d'enseignement Lib L,Mef Bcp 11,Mef Bcp 11 Lib L,Mef Bcp 6,Mef Bcp 6 Lib L,Nombre d'élèves : Total,Nombre d'élèves : Filles,Nombre d'élèves : Garçons
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,32221020009,2BTS2  CONCEPTION PRODUITS INDUSTRIELS,322210,BTS EN 2 ANS : 2EME ANNEE,9.0,1.0,8.0
2024.0,10.0,LYON,0010016M,JOSEPH-MARIE CARRIAT,J M CARRIAT 1 R DE CROUY,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,32221032614,2BTS2  SERV.INFORMATIQ.ORGAN.OPT.B.SLAM,322210,BTS EN 2 ANS : 2EME ANNEE,12.0,1.0,11.0
2024.0,10.0,LYON,0010021T,MARCELLE PARDE,M PARDE 47 AV ALSACE LORRAINE,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23220033615,2CAP2  ESTHETIQUE COSMETIQUE PARFUMERIE,232200,CAP EN 2 ANS : 2EME ANNEE,16.0,15.0,1.0
2024.0,10.0,LYON,0010021T,MARCELLE PARDE,M PARDE 47 AV ALSACE LORRAINE,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23810030003,"2DE PRO3 MET.GEST.ADM.,TRA.&LOG.2NDE COMM.",238100,BAC PRO EN 3 ANS : 2NDE PRO,32.0,23.0,9.0
2024.0,10.0,LYON,0010021T,MARCELLE PARDE,M PARDE 47 AV ALSACE LORRAINE,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23820030004,1ERPRO ASSISTANC.GEST.ORGANIS.ACTIVITES,238200,BAC PRO EN 3 ANS : 1ERE PRO,31.0,21.0,10.0
2024.0,10.0,LYON,0010021T,MARCELLE PARDE,M PARDE 47 AV ALSACE LORRAINE,1011.0,01053,BOURG-EN-BRESSE,01053,BOURG-EN-BRESSE,SECTEUR PUBLIC,23820031214,1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.,238200,BAC PRO EN 3 ANS : 1ERE PRO,10.0,4.0,6.0
2024.0,10.0,LYON,0010032E,XAVIER BICHAT,X BICHAT AV DU LAC,1130.0,01269,NANTUA,01269,NANTUA,SECTEUR PUBLIC,23820033006,1ERPRO ANIMAT. ENFANCE& PERSONNES AGEES,238200,BAC PRO EN 3 ANS : 1ERE PRO,16.0,12.0,4.0
2024.0,10.0,LYON,0010032E,XAVIER BICHAT,X BICHAT AV DU LAC,1130.0,01269,NANTUA,01269,NANTUA,SECTEUR PUBLIC,23830033006,TLEPRO ANIMAT. ENFANCE& PERSONNES AGEES,238300,BAC PRO EN 3 ANS : TERMINALE PRO,15.0,9.0,6.0
2024.0,10.0,LYON,0010034G,PAUL PAINLEVE,P PAINLEVE 13 PL DES DEPORTES,1108.0,01283,OYONNAX,01283,OYONNAX,SECTEUR PUBLIC,23810031211,2DE PRO3 MET. RELATION CLIENT 2NDE COMMUNE,238100,BAC PRO EN 3 ANS : 2NDE PRO,31.0,22.0,9.0
2024.0,10.0,LYON,0010034G,PAUL PAINLEVE,P PAINLEVE 13 PL DES DEPORTES,1108.0,01283,OYONNAX,01283,OYONNAX,SECTEUR PUBLIC,23820031214,1ERPRO MET.COM.VEN.OP.B PR.CL.VA.OF.COM.,238200,BAC PRO EN 3 ANS : 1ERE PRO,15.0,10.0,5.0
