UAI,LIBELLÉFORMATION,MEFSTAT11,NB_VOEUX_CONFIRMES,STATUT,CAPACITEPSUP
0590064Z,BTS - Services - Management Commercial Opérationnel,32211031213,608.0,Scolaire,32.0
0590065A,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",32211020116,284.0,Scolaire,30.0
0590065A,"BTS - Production - Fluide, énergie, domotique - option B froid et conditionnement d'air",32211022710,114.0,Scolaire,30.0
0590065A,BTS - Production - Electrotechnique,32211025520,148.0,Scolaire,30.0
9720932F,BTS - Services - Management opérationnel de la sécurité - en apprentissage,32211034401,33.0,Apprentissage,20.0
0610694Y,BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage,32211033608,33.0,Apprentissage,5.0
0290018M,"BTS - Agricole - Analyse, conduite et stratégie de l'entreprise agricole, option Territoires métropolitains - en apprentissage",32212021015,88.0,Apprentissage,27.0
0353005B,BTS - Services - Services et prestations des secteurs sanitaire et social - en apprentissage,32211033002,45.0,Apprentissage,5.0
9711278M,BTS - Services - Communication - en apprentissage,32211032003,110.0,Apprentissage,1.0
9711278M,BTS - Services - Support à l'action managériale - en apprentissage,32211032409,57.0,Apprentissage,4.0
0831774C,BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage,32211031212,40.0,Apprentissage,40.0
0831774C,BTS - Services - Management Commercial Opérationnel - en apprentissage,32211031213,43.0,Apprentissage,40.0
0222064Z,BTS - Production - Métiers de l'eau - en apprentissage,32211020114,20.0,Apprentissage,6.0
0590071G,BTS - Services - Négociation et digitalisation de la Relation Client,32211031212,389.0,Scolaire,35.0
0590071G,BTS - Services - Services informatiques aux organisations,32211032612,189.0,Scolaire,35.0
0590072H,BTS - Production - Conception et Réalisation de Systèmes Automatiques,32211020111,93.0,Scolaire,15.0
0590072H,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux",32211020116,486.0,Scolaire,45.0
0590072H,BTS - Production - Conception des processus de réalisation de produits (1ère année commune),32211022316,24.0,Scolaire,15.0
0590072H,BTS - Production - Conception et réalisation en chaudronnerie industrielle,32211025415,81.0,Scolaire,15.0
0590072H,BTS - Production - Electrotechnique,32211025520,244.0,Scolaire,30.0
0590072H,"BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux - en apprentissage",32211020116,95.0,Apprentissage,15.0
