Rentrée scolaire;Académie 2020;Académie 2020 Lib L;UAI;Patronyme;Adresse condensée;Code postal;Commune d'implantation;Commune d'implantation Lib L;Commune et arrondissement;Commune et arrondissement Lib L;Secteur d'enseignement Lib L;Mef Bcp 11;Mef Bcp 11 Lib L;Mef Bcp 6;Mef Bcp 6 Lib L;Nombre d'élèves : Total;Nombre d'élèves : Filles;Nombre d'élèves : Garçons
2024;70;NORMANDIE;0762920L;PIERRE DE COUBERTIN;COUBERTIN 130 R CLEMENCEAU;76210;76114;BOLBEC;76114;BOLBEC;SECTEUR PUBLIC;23820025014;1ERPRO TEC.REAL.PR.MEC.OP.REAL.SUIV.PRO.;238200;BAC PRO EN 3 ANS : 1ERE PRO;12;1;11
2024;70;NORMANDIE;0762920L;PIERRE DE COUBERTIN;COUBERTIN 130 R CLEMENCEAU;76210;76114;BOLBEC;76114;BOLBEC;SECTEUR PUBLIC;23830025012;TLEPRO MAINTENANCE SYST.PRODUC.CONNECTES;238300;BAC PRO EN 3 ANS : TERMINALE PRO;21;0;21
2024;70;NORMANDIE;0762920L;PIERRE DE COUBERTIN;COUBERTIN 130 R CLEMENCEAU;76210;76114;BOLBEC;76114;BOLBEC;SECTEUR PUBLIC;23830025411;TLEPRO TECH.CHAUDRONNERIE INDUSTRIELLE;238300;BAC PRO EN 3 ANS : TERMINALE PRO;15;0;15
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;23110023326;1CAP1  METIERS PLATRE ET ISOLATION;231100;CAP EN 1 AN;10;2;8
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;23810030003;2DE PRO3 MET.GEST.ADM.,TRA.&LOG.2NDE COMM.;238100;BAC PRO EN 3 ANS : 2NDE PRO;30;10;20
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;23820023304;1RE PRO3 AMENAGEMENT FINITION BATIMENT;238200;BAC PRO EN 3 ANS : 1ERE PRO;14;5;9
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;23820031114;1ERPRO ORGANIS. TRANSPORT MARCHANDISES;238200;BAC PRO EN 3 ANS : 1ERE PRO;31;12;19
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;23830023405;TLE PRO3  TECHNICIEN MENUISIER AGENCEUR;238300;BAC PRO EN 3 ANS : TERMINALE PRO;13;0;13
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;23830025006;TLE PRO3  MICROTECHNIQUES;238300;BAC PRO EN 3 ANS : TERMINALE PRO;13;0;13
2024;70;NORMANDIE;0762964J;LE CORBUSIER;LE CORBUSIER R DE L'UNIVERSITE;76800;76575;SAINT-ETIENNE-DU-ROUVRAY;76575;SAINT-ETIENNE-DU-ROUVRAY;SECTEUR PUBLIC;32211022711;1BTS2  FLUID.EN.DOM.OP.C DOMOT.BAT.COMM.;322110;BTS EN 2 ANS : 1ERE ANNEE;10;0;10
