id;millesime;code_region_ij;code_region;voie;cfd;mefstat11;nb_annee_term;nb_en_emploi_12_mois;nb_en_emploi_18_mois;nb_en_emploi_24_mois;nb_en_emploi_6_mois;nb_poursuite_etudes;nb_sortant;taux_emploi_12_mois;taux_emploi_18_mois;taux_emploi_24_mois;taux_emploi_6_mois;taux_poursuite_etudes
2020_2021_01_scolaire_32221025516;2020_2021;01;84;scolaire;;32221025516;211;92;92;96;79;71;140;66;66;69;56;34
2020_2021_01_scolaire_23830025303;2020_2021;01;84;scolaire;;23830025303;49;4;6;7;3;37;12;;;;;76
2020_2021_01_scolaire_23220025524;2020_2021;01;84;scolaire;;23220025524;559;98;111;112;67;309;250;39;44;45;27;55
2020_2021_01_scolaire_32221022318;2020_2021;01;84;scolaire;;32221022318;51;23;18;25;23;17;34;68;53;74;68;33
2020_2021_01_scolaire_23220024005;2020_2021;01;84;scolaire;;23220024005;62;9;12;11;8;17;45;20;27;24;18;27
2020_2021_01_scolaire_23220023325;2020_2021;01;84;scolaire;;23220023325;47;14;14;18;11;24;23;61;61;78;48;51
2020_2021_01_scolaire_32221025010;2020_2021;01;84;scolaire;;32221025010;352;186;179;201;159;95;257;72;70;78;62;27
2020_2021_01_scolaire_32221032330;2020_2021;01;84;scolaire;;32221032330;19;5;7;7;4;8;11;;;;;
2020_2021_01_scolaire_23830025007;2020_2021;01;84;scolaire;;23830025007;1636;403;408;431;331;966;670;60;61;64;49;59
2020_2021_01_scolaire_23220023319;2020_2021;01;84;scolaire;;23220023319;124;33;36;40;22;51;73;45;49;55;30;41
2020_2021_01_scolaire_32221032002;2020_2021;01;84;scolaire;;32221032002;494;147;151;166;128;245;249;59;61;67;51;50
2020_2021_01_scolaire_32221032326;2020_2021;01;84;scolaire;;32221032326;47;11;9;10;8;27;20;55;45;50;40;57
2020_2021_01_scolaire_23220033616;2020_2021;01;84;scolaire;;23220033616;253;47;49;49;37;172;81;58;60;60;46;68
2020_2021_01_scolaire_32221025414;2020_2021;01;84;scolaire;;32221025414;13;3;6;7;7;2;11;;;;;
2020_2021_01_scolaire_32221023412;2020_2021;01;84;scolaire;;32221023412;106;47;44;48;44;46;60;78;73;80;73;43
2020_2021_01_scolaire_32221033604;2020_2021;01;84;scolaire;;32221033604;171;93;86;88;78;57;114;82;75;77;68;33
2020_2021_01_scolaire_32221025411;2020_2021;01;84;scolaire;;32221025411;46;20;15;21;16;14;32;62;47;66;50;30
2020_2021_01_scolaire_32221033420;2020_2021;01;84;scolaire;;32221033420;352;134;128;148;100;113;239;56;54;62;42;32
2020_2021_01_scolaire_23220023441;2020_2021;01;84;scolaire;;23220023441;371;77;80;81;58;219;152;51;53;53;38;59
2020_2021_01_scolaire_23220022361;2020_2021;01;84;scolaire;;23220022361;88;10;9;11;5;71;17;;;;;81
2020_2021_01_scolaire_23220025307;2020_2021;01;84;scolaire;;23220025307;22;0;0;0;1;19;3;;;;;86
2020_2021_01_scolaire_32221025515;2020_2021;01;84;scolaire;;32221025515;543;251;251;249;213;191;352;71;71;71;61;35
2020_2021_01_scolaire_32221022103;2020_2021;01;84;scolaire;;32221022103;56;10;9;10;11;39;17;;;;;70
2020_2021_01_scolaire_23830022303;2020_2021;01;84;scolaire;;23830022303;17;3;2;4;4;10;7;;;;;
2020_2021_01_scolaire_32221032327;2020_2021;01;84;scolaire;;32221032327;62;13;10;12;9;41;21;62;48;57;43;66
