MEF,DISPOSITIF_FORMATION,FORMATION_DIPLOME,DUREE_DISPOSITIF,ANNEE_DISPOSITIF,LIBELLE_COURT,LIBELLE_LONG,DATE_OUVERTURE,DATE_FERMETURE,STATUT_MEF,NB_OPTION_OBLIGATOIRE,NB_OPTION_FACULTATIF,RENFORCEMENT_LANGUE,DUREE_PROJET,DUREE_STAGE,HORAIRE,MEF_INSCRIPTION_SCOLARITE,MEF_STAT_11,MEF_STAT_9,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE
2212420511.0,221.0,42024205,1.0,1.0,1BT   24205,1BT VETEMENT (CREATION ET MESURE),01/09/1992,31/08/2010,3.0,1.0,,N,,,O,O,22123124205,221231242,16/06/2009,1bt vetement (creation et mesure),
2222420511.0,222.0,42024205,1.0,1.0,TBT   24205,TBT VETEMENT (CREATION ET MESURE),01/09/1992,31/08/2012,3.0,1.0,,N,,,O,O,22133124205,221331242,16/06/2009,Tbt vetement (creation et mesure),
2212420311.0,221.0,42024203,1.0,1.0,1BT   24203,1BT MATERX SOUPLES : INDUST.HABILLEMT,01/09/1992,02/09/1992,1.0,0.0,0.0,N,0.0,4.0,N,O,22123124203,221231242,27/01/1995,1bt materx souples : indust.habillemt,
2222420311.0,222.0,42024203,1.0,1.0,TBT   24203,TBT MATERX SOUPLES : INDUST.HABILLEMT,01/09/1992,31/08/1994,1.0,0.0,1.0,N,0.0,0.0,N,O,22133124203,221331242,27/01/1995,Tbt materx souples : indust.habillemt,
2212430111.0,221.0,42024301,1.0,1.0,1BT   24301,1BT PROD.& UTILISATION CUIRS & PEAUX,01/09/1992,31/08/2005,3.0,1.0,,N,,,O,O,22123124301,221231243,12/05/2005,1bt prod.& utilisation cuirs & peaux,
2222430111.0,222.0,42024301,1.0,1.0,TBT   24301,TBT PROD.& UTILISATION CUIRS & PEAUX,01/09/1992,31/08/2005,3.0,1.0,,N,,,O,O,22133124301,221331243,12/05/2005,Tbt prod.& utilisation cuirs & peaux,
2412541721.0,241.0,50025417,2.0,1.0,1CAP2 25417,1CAP2 SOUDAGE EQUIPAGE,01/09/1992,31/08/1993,3.0,0.0,0.0,N,0.0,0.0,N,O,23210025417,232100254,27/01/1995,1cap2 soudage equipage,
2412541722.0,241.0,50025417,2.0,2.0,2CAP2 25417,2CAP2 SOUDAGE EQUIPAGE,01/09/1992,31/08/1993,3.0,0.0,0.0,N,0.0,0.0,N,O,23220025417,232200254,27/01/1995,2cap2 soudage equipage,
2422541733.0,242.0,50025417,3.0,3.0,3CAP3 25417,3CAP3 SOUDAGE EQUIPAGE,01/09/1992,31/08/1993,3.0,0.0,0.0,N,0.0,0.0,N,O,23330025417,233300254,27/01/1995,3cap3 soudage equipage,
2412541821.0,241.0,50025418,2.0,1.0,1CAP2 25418,1CAP2 MARECHAL FERRANT,01/09/1992,02/09/1992,3.0,0.0,0.0,N,0.0,0.0,N,O,23210025418,232100254,27/01/1995,1cap2 marechal ferrant,
