code_ogr;libelle_appellation_long;libelle_appellation_court;code_rome;transition_eco;transition_num;transition_demo;emploi_reglemente;emploi_cadre;classification;origine
19331;Scieur / Scieuse de tête;Scieur / Scieuse de tête;H2205;;;;;;SYNONYME;
19332;Scripte;Scripte;L1304;;;;;;SYNONYME;
19333;Scripte cinéma;Scripte cinéma;L1304;;;;;;SYNONYME;
19334;Scripte télévision;Scripte télévision;L1304;;;;;;SYNONYME;
19335;Sculpteur / Sculptrice;Sculpteur / Sculptrice;B1101;;;;;;SYNONYME;
19336;Sculpteur animalier / Sculptrice animalière;Sculpteur animalier / Sculptrice animalière;B1101;;;;;;SYNONYME;
19337;Sculpteur modeleur / Sculptrice modeleuse sur bois;Sculpteur modeleur / Sculptrice modeleuse sur bois;H2208;;;;;;SYNONYME;
19338;Sculpteur / Sculptrice ornemaniste;Sculpteur / Sculptrice ornemaniste;B1101;;;;;;SYNONYME;
19339;Sculpteur / Sculptrice ornemaniste sur pierre;Sculpteur / Sculptrice ornemaniste sur pierre;F1612;;;;;;SYNONYME;
19340;Sculpteur / Sculptrice statuaire;Sculpteur / Sculptrice statuaire;B1101;;;;;;SYNONYME;
19341;Sculpteur / Sculptrice statuaire bois;Sculpteur / Sculptrice statuaire bois;H2208;;;;;;SYNONYME;
19342;Sculpteur / Sculptrice sur bois;Sculpteur / Sculptrice sur bois;H2208;;;;;;PRINCIPALE;
19343;Sculpteur / Sculptrice sur verre;Sculpteur / Sculptrice sur verre;B1602;;;;;;SYNONYME;
19344;Sculpteur-médailleur / Sculptrice-médailleuse;Sculpteur-médailleur / Sculptrice-médailleuse;B1101;;;;;;SYNONYME;
19345;Sculpteur-modeleur / Sculptrice-modeleuse;Sculpteur-modeleur / Sculptrice-modeleuse;B1101;;;;;;SYNONYME;
19346;Sécheur / Sécheuse de films cinématographiques;Sécheur / Sécheuse de films cinématographiques;E1202;;;;;;SYNONYME;
19347;Sécheur / Sécheuse en blanchisserie;Sécheur / Sécheuse en blanchisserie;K2201;;;;;;SYNONYME;
19348;Sécheur / Sécheuse en industrie papetière;Sécheur / Sécheuse en industrie papetière;H3101;;;;;;SYNONYME;
19349;Sécheur / Sécheuse en laboratoire cinématographique;Sécheur / Sécheuse en laboratoire cinématographique;E1202;;;;;;SYNONYME;
19350;Sécheur / Sécheuse sous vide en tannerie;Sécheur / Sécheuse sous vide en tannerie;H2407;;;;;;SYNONYME;
19351;Second boucher / Seconde bouchère;Second boucher / Seconde bouchère;D1101;;;;;;SYNONYME;
19352;Second / Seconde capitaine de la navigation fluviale;Second / Seconde capitaine de la navigation fluviale;N3103;;;;;;SYNONYME;
19353;Second / Seconde capitaine marine;Second / Seconde capitaine marine;N3101;;;;;;SYNONYME;
19354;Second / Seconde de cuisine;Second / Seconde de cuisine;G1601;;;;;;SYNONYME;
19355;Second / Seconde de pêche;Second / Seconde de pêche;A1406;;;;;;SYNONYME;
19356;Second / Seconde d'exploitation en polyculture élevage;Second / Seconde d'exploitation en polyculture élevage;A1416;;;;;;SYNONYME;
19357;Second / Seconde d'exploitation horticole;Second / Seconde d'exploitation horticole;A1414;;;;;;SYNONYME;
19358;Second / Seconde d'exploitation porcine;Second / Seconde d'exploitation porcine;A1411;;;;;;SYNONYME;
19359;Second maître / Seconde maîtresse de la navigation maritime;Second maître / Seconde maîtresse de la navigation maritime;N3102;;;;;;SYNONYME;
19360;Second maître / Seconde maîtresse d'hôtel;Second maître / Seconde maîtresse d'hôtel;G1802;;;;;;SYNONYME;
19361;Second / Seconde d'atelier;Second / Seconde d'atelier;H1205;;;;;;SYNONYME;
19362;Secouriste;Secouriste;K1705;;;;;;PRINCIPALE;
19363;Secouriste brancardier / brancardière;Secouriste brancardier / brancardière;K1705;;;;;;SYNONYME;
19364;Secrétaire;Secrétaire;M1607;;;;;;PRINCIPALE;
19365;Secrétaire administratif / administrative;Secrétaire administratif / administrative;M1607;;;;;;SYNONYME;
19366;Secrétaire administratif / administrative de collectivité territoriale;Secrétaire administratif(ve) de collectivité territoriale;M1607;;;;;;SYNONYME;
19367;Secrétaire bilingue;Secrétaire bilingue;M1607;;;;;;SYNONYME;
19368;Secrétaire bureautique;Secrétaire bureautique;M1607;;;;;;SYNONYME;
19369;Secrétaire commercial / commerciale;Secrétaire commercial / commerciale;D1401;;;;;;SYNONYME;
19370;Secrétaire comptable;Secrétaire comptable;M1608;;;;;;PRINCIPALE;
19371;Secrétaire d'administration ou d'intendance universitaire;Secrétaire d'administration ou d'intendance universitaire;M1607;;;;;;SYNONYME;
19372;Secrétaire d'administration scolaire et universitaire -SASU-;Secrétaire d'administration scolaire et universitaire -SASU-;M1607;;;;;;SYNONYME;
19373;Secrétaire d'affaires;Secrétaire d'affaires;M1605;;;;;;SYNONYME;
19374;Secrétaire de direction;Secrétaire de direction;M1604;;;;;;SYNONYME;
19375;Secrétaire de direction bilingue;Secrétaire de direction bilingue;M1604;;;;;;SYNONYME;
19376;Secrétaire de direction trilingue;Secrétaire de direction trilingue;M1604;;;;;;SYNONYME;
19377;Secrétaire de groupe d'immeubles;Secrétaire de groupe d'immeubles;C1502;;;;;;SYNONYME;
19378;Secrétaire de production cinéma;Secrétaire de production cinéma;L1302;;;;;;SYNONYME;
19379;Secrétaire de production de spectacles;Secrétaire de production de spectacles;L1302;;;;;;SYNONYME;
19380;Secrétaire de rédaction;Secrétaire de rédaction;E1106;;;;;;SYNONYME;
19381;Secrétaire de rédaction en Publication Assistée par Ordinateur -PAO-;Secrétaire de rédaction en -PAO-;E1106;;;;;;SYNONYME;
19382;Secrétaire de syndic immobilier;Secrétaire de syndic immobilier;C1502;;;;;;SYNONYME;
19383;Secrétaire d'édition;Secrétaire d'édition;E1105;;;;;;SYNONYME;
19384;Secrétaire du service personnel;Secrétaire du service personnel;M1501;;;;;;SYNONYME;
19385;Secrétaire facturier / facturière;Secrétaire facturier / facturière;M1608;;;;;;SYNONYME;
19386;Secrétaire général adjoint / générale adjointe d'association;Secrétaire général adjoint / générale adjointe d'association;M1205;;;;;;SYNONYME;
