GROUPE_SPECIALITE,DOMAINE_SPECIALITE,LIBELLE_COURT,LIBELLE_LONG,LIBELLE_STAT_33,DATE_OUVERTURE,DATE_FERMETURE,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE
230.0,23.0,,"SPEC.PLURITECHNO, GENIE CIVIL, CONSTRUC.","SPEC.PLURITECHNO, GENIE CIVIL, ..",,,22/12/1999,"Spécialités pluritechnologiques génie civil, construction, bois",
251.0,25.0,,"MECANIQ.GENERALE & DE PRECISION, USINAGE","MECANIQ GENE.& DE PRECIS., USINAG",,,22/12/1999,"Mécanique générale et de précision, usinage",
300.0,30.0,,SPECIALITES PLURIVALENTES DES SERVICES,SPEC.PLURIVALENTES DES SERVICES,,,22/12/1999,Spécialités plurivalentes des services,
312.0,31.0,,"COMMERCE, VENTE","COMMERCE, VENTE",,,22/12/1999,"Commerce, vente",
315.0,31.0,,RESSOURCES HUMAINES GESTION DU PERSONNEL,"RESS.HUMAINES, GESTION DU PERSONL",,,22/12/1999,"Ressources humaines, gestion du personnel, gestion de l'emploi",
336.0,33.0,,"COIFFURE, ESTHETIQ.& AUTR.SERVICES PERSO","COIFFURE, ESTHETIQUE & AUTR.SOINS",,,22/12/1999,"Coiffure, esthétique, autres spécialités des services aux personnes",
342.0,34.0,,PROTECTION ET DEVELOPMT DU PATRIMOINE,PROTECT.& DEVELPT DU PATRIMOINE,,,22/12/1999,Protection et développement du patrimoine,
344.0,34.0,,SECURITE DES BIENS ET DES PERSONNES,SECURIT.DES BIENS & DES PERSONNES,,,22/12/1999,"Sécurité des biens et des personnes, police, surveillance",
411.0,41.0,,PRATIQUES SPORTIVES,PRATIQUES SPORTIVES,,,22/12/1999,Pratiques sportives,
414.0,41.0,,DEVELOPMT.CAPACITES INDIVID.D'ORGANISAT.,DEVEL.CAPACIT.INDIV.D'ORGANISAT.,,,22/12/1999,Développement des capacités individuelles d'organisation,
421.0,42.0,,JEUX ET ACTIVITES SPECIFIQUES DE LOISIRS,JEUX & ACTIVIT.SPECIF.DE LOISIRS,,,22/12/1999,Jeux et activités spécifiques de loisirs,
1.0,,,SCIENCES NATURELLES (BIOLOGIE-GEOLOGIE),SCIENCES NAT. (BIOLOGIE-GEOLOGIE),,,07/11/2025,"Ressources humaines, gestion du personnel, gestion de l'emploi",
