MEF,FORMATION_DIPLOME,MEF_STAT_11
7413000111,48130001,44210030001
2413310321,50033103,23210033103
2413310322,50033103,23220033103
3112250221,32022502,32211022502
3112250222,32022502,32221022502
3112100721,32021007,32211021007
3112100722,32021007,32221021007
3112410121,32024101,32211024101
3112410122,32024101,32221024101
2113100411,43031004,22122831004
3113430121,32034301,32211034301
2202410511,42024105,22113124105
3113430122,32034301,32221034301
3112210322,32022103,32221022103
3102411011,32024110,32111024110
3112200222,32022002,32221022002
2412110121,50021101,23210021101
3112410221,32024102,32211024102
3112410222,32024102,32221024102
3112410321,32024103,32211024103
2213340111,42033401,22123133401
2412420222,50024202,23220024202
3112410322,32024103,32221024103
3112410421,32024104,32211024104
3112410422,32024104,32221024104
3112410521,32024105,32211024105
3112410522,32024105,32221024105
3112410621,32024106,32211024106
3112410622,32024106,32221024106
3112410722,32024107,32221024107
3112410821,32024108,32211024108
3112410822,32024108,32221024108
3112420122,32024201,32221024201
3112420221,32024202,32211024202
2412551122,50025511,23220025511
2422551133,50025511,23330025511
2412551421,50025514,23210025514
2412551422,50025514,23220025514
2412551521,50025515,23210025515
2412551522,50025515,23220025515
2412500521,50025005,23210025005
2412500522,50025005,23220025005
2412551621,50025516,23210025516
2412551622,50025516,23220025516
2422550333,50025503,23330025503
2412551721,50025517,23210025517
2412551722,50025517,23220025517
2412551821,50025518,23210025518
2412551822,50025518,23220025518
2422240133,50022401,23330022401
2422240233,50022402,23330022402
2422240333,50022403,23330022403
2412241221,50022412,23210022412
2422241233,50022412,23330022412
2412240421,50022404,23210022404
2412240422,50022404,23220022404
2422240433,50022404,23330022404
2412241322,50022413,23220022413
2422241333,50022413,23330022413
2412241421,50022414,23210022414
2412241422,50022414,23220022414
2422241433,50022414,23330022414
2442510122,51025101,23520025101
2442500421,51025004,23510025004
2442500422,51025004,23520025004
2442520221,51025202,23510025202
2442520222,51025202,23520025202
2442510221,51025102,23510025102
2442510222,51025102,23520025102
2442510321,51025103,23510025103
2442510322,51025103,23520025103
1311001133,67010011,21160010011
1021000311,67010003,21150010003
1031000311,67010003,21160010003
1021000511,67010005,21150010005
1031000511,67010005,21160010005
1021000611,67010006,21150010006
1031000611,67010006,21160010006
1041000111,67010001,21170010001
1031000811,67010008,21160010008
7412000111,48120001,44210020001
1612199941,55021999,24130021999
2412411622,50024116,23220024116
2412412221,50024122,23210024122
2412412222,50024122,23220024122
2412400121,50024001,23210024001
2412400122,50024001,23220024001
1031000411,67010004,21160010004
1031000211,67010002,21160010002
2412400221,50024002,23210024002
2412420221,50024202,23210024202
2422420233,50024202,23330024202
2412420321,50024203,23210024203
2412420322,50024203,23220024203
2422420333,50024203,23330024203
2412421621,50024216,23210024216
2412421622,50024216,23220024216
2422421633,50024216,23330024216
2412420422,50024204,23220024204
2422420433,50024204,23330024204
2412410321,50024103,23210024103
2412410322,50024103,23220024103
2412410421,50024104,23210024104
2412410422,50024104,23220024104
2422410433,50024104,23330024104
2412410521,50024105,23210024105
2422410533,50024105,23330024105
2412410621,50024106,23210024106
2533340711,01033407,23910033407
2203340311,42033403,22113133403
2302299911,42022999,22114122999
2302599911,42025999,22114125999
2303299911,42032999,22114132999
2302499911,42024999,22114124999
2302099911,42020999,22114120999
2303399911,42033999,22114133999
2303499911,42034999,22114134999
2309999911,42099999,22114199999
2999999911,69999999,23A10099999
2412110122,50021101,23220021101
2413110321,50031103,23210031103
2413110322,50031103,23220031103
2412320421,50023204,23210023204
2412320422,50023204,23220023204
2412310121,50023101,23210023101
2412310122,50023101,23220023101
2422310133,50023101,23330023101
2413340621,50033406,23210033406
2412320521,50023205,23210023205
2412320522,50023205,23220023205
2412320221,50023202,23210023202
2412320222,50023202,23220023202
2422320233,50023202,23330023202
3113140722,32031407,32221031407
2412320621,50023206,23210023206
2412320622,50023206,23220023206
2412310421,50023104,23210023104
2412310422,50023104,23220023104
2412310521,50023105,23210023105
2412300121,50023001,23210023001
2412300122,50023001,23220023001
3112420222,32024202,32221024202
3112400321,32024003,32211024003
3112400121,32024001,32211024001
3112400222,32024002,32221024002
3112430221,32024302,32211024302
3112430321,32024303,32211024303
3112430322,32024303,32221024303
3112430421,32024304,32211024304
3112430422,32024304,32221024304
3112340121,32023401,32211023401
2323221111,42032211,22124232211
2323220411,42032204,22124232204
2323220511,42032205,22124232205
2322250111,42022501,22124222501
2423120432,50031204,23320031204
2312200411,43022004,22124122004
2312200211,43022002,22124122002
2312220311,43022203,22124122203
2312220711,43022207,22124122207
2312220111,43022201,22124122201
2322210111,42022101,22124222101
2322210211,42022102,22124222102
2322210311,42022103,22124222103
2322410411,42024104,22124224104
2322410111,42024101,22124224101
2322410211,42024102,22124224102
2322410311,42024103,22124224103
2322410611,42024106,22124224106
2322400111,42024001,22124224001
2312400211,43024002,22124124002
2312400111,43024001,22124124001
2322420111,42024201,22124224201
2322420211,42024202,22124224202
2322420511,42024205,22124224205
2322420311,42024203,22124224203
2442510822,51025108,23520025108
2442510421,51025104,23510025104
2442510422,51025104,23520025104
2442510521,51025105,23510025105
2442510621,51025106,23510025106
2442510622,51025106,23520025106
2442510721,51025107,23510025107
2442510722,51025107,23520025107
2442010121,51020101,23510020101
2412422421,50024224,23210024224
2443230121,51032301,23510032301
2443230122,51032301,23520032301
2442270122,51022701,23520022701
2442550222,51025502,23520025502
2542210522,45022105,25120022105
2442550321,51025503,23510025503
2442550322,51025503,23520025503
2442550421,51025504,23510025504
2442550422,51025504,23520025504
2443220122,51032201,23520032201
2443220221,51032202,23510032202
2443220222,51032202,23520032202
2442260121,51022601,23510022601
2442260122,51022601,23520022601
2443430121,51034301,23510034301
2443430122,51034301,23520034301
2442250121,51022501,23510022501
2442250122,51022501,23520022501
2442240121,51022401,23510022401
2442240122,51022401,23520022401
2442220121,51022201,23510022201
4102300221,24023002,32810023002
4102300222,24023002,32820023002
3163230122,32132301,32620032301
4102300321,24023003,32810023003
4102300322,24023003,32820023003
3163231321,32132313,32610032313
4103210121,24032101,32810032101
4103210122,24032101,32820032101
2412410622,50024106,23220024106
2422410633,50024106,23330024106
2412421921,50024219,23210024219
2412421922,50024219,23220024219
2422421933,50024219,23330024219
2412422422,50024224,23220024224
2422422433,50024224,23330024224
2412420521,50024205,23210024205
2412420522,50024205,23220024205
2412420621,50024206,23210024206
2412420622,50024206,23220024206
2412420721,50024207,23210024207
2412420722,50024207,23220024207
2412422621,50024226,23210024226
2412422622,50024226,23220024226
2001000511,47010005,22111310005
2001000611,47010006,22111310006
2001000811,47010008,22111310008
2001000911,47010009,22111310009
2001001011,47010010,22111110010
2001001111,47010011,22111110011
2432199911,51021999,23410021999
2432399911,51023999,23410023999
2432299911,51022999,23410022999
2432599911,51025999,23410025999
2433299911,51032999,23410032999
2432499911,51024999,23410024999
2433199911,51031999,23410031999
2433399911,51033999,23410033999
2432099911,51020999,23410020999
2433499911,51034999,23410034999
2439999911,51099999,23410099999
7909999911,59999999,45110099999
3923320131,36033201,52110033201
3923320132,36033201,52120033201
3923320133,36033201,52130033201
3923310231,36033102,52110033102
3923310232,36033102,52120033102
2463120121,40031201,23710031201
3923310233,36033102,52130033102
2422300133,50023001,23330023001
2412300321,50023003,23210023003
2412300322,50023003,23220023003
2423140133,50031401,23330031401
2413130321,50031303,23210031303
3163231422,32132314,32620032314
2413130322,50031303,23220031303
2413130421,50031304,23210031304
2413130422,50031304,23220031304
2413130121,50031301,23210031301
2222330311,42023303,22133123303
2413130122,50031301,23220031301
2423240133,50032401,23330032401
2413240321,50032403,23210032403
2413240322,50032403,23220032403
2413130521,50031305,23210031305
2413130522,50031305,23220031305
2413130221,50031302,23210031302
2423140233,50031402,23330031402
2413130621,50031306,23210031306
2413130622,50031306,23220031306
2413120121,50031201,23210031201
2413120122,50031201,23220031201
2413120221,50031202,23210031202
2413120222,50031202,23220031202
2423120233,50031202,23330031202
2413120321,50031203,23210031203
2413120421,50031204,23210031204
2413120422,50031204,23220031204
2413120621,50031206,23210031206
2413120622,50031206,23220031206
2423120633,50031206,23330031206
2413120721,50031207,23210031207
2413120722,50031207,23220031207
2413120822,50031208,23220031208
3112230522,32022305,32221022305
3112230621,32022306,32211022306
3112230622,32022306,32221022306
3112240121,32022401,32211022401
3112540321,32025403,32211025403
2322430111,42024301,22124224301
2322430211,42024302,22124224302
2323310111,42033101,22124233101
2322430311,42024303,22124224303
2322340111,42023401,22124223401
2312340211,43023402,22124123402
2312340111,43023401,22124123401
2322230411,42022304,22124222304
2322340211,42023402,22124223402
2322340311,42023403,22124223403
2322340411,42023404,22124223404
2322260211,42022602,22124222602
2322340511,42023405,22124223405
2422540933,50025409,23330025409
2412541021,50025410,23210025410
2412541022,50025410,23220025410
2422541033,50025410,23330025410
2412542021,50025420,23210025420
2412542022,50025420,23220025420
2412542221,50025422,23210025422
2412542222,50025422,23220025422
2422542233,50025422,23330025422
2412542321,50025423,23210025423
2412542322,50025423,23220025423
2412542421,50025424,23210025424
2412542422,50025424,23220025424
2412541121,50025411,23210025411
2412541122,50025411,23220025411
2412520521,50025205,23210025205
2412520522,50025205,23220025205
2412520622,50025206,23220025206
2412510121,50025101,23210025101
2412510122,50025101,23220025101
2422510133,50025101,23330025101
3103140911,32031409,32111031409
3163231421,32132314,32610032314
3103261011,32032610,32111032610
3113231521,32032315,32211032315
3113231522,32032315,32221032315
3113231321,32032313,32211032313
3113231322,32032313,32221032313
3113231421,32032314,32211032314
3113231422,32032314,32221032314
